id_hallazgo,hallazgo_codex,severidad,criterio_afectado,archivos_afectados,tipo_correccion,verificacion_automatizada,resultado_verificacion
H05-01,C05 cuenta excepciones como éxito y no valida constructores dinámicos ni firmas de clientes,P0,"C05, C14","verificacion-local/run_sdk_audit.py, validacion-sdk-oficial-0.7.0.json","Instanciación estricta de 95 literales, 8 dinámicos con datos sintéticos tipados y 84 clientes TypeSafeClient/AsyncTypeSafeClient con clave sintética local; cualquier excepción cuenta como fallo",run_sdk_audit.py::test_sdk_strict_instantiation,"APROBADO (185/185 constructores de typesafe-sdk==0.7.0 instanciados offline, 0 excepciones, 0 llamadas de red)"
H05-02,Inventario declara 2.342 afirmaciones sin filas atómicas auditables y con 255 discrepancias de fuentes,P0,C10,"inventario-afirmaciones-completo.csv, inventario-afirmaciones-fuentes.md, respuestas/ (384 archivos)","Reconstrucción del inventario con exactamente una fila por afirmación atómica (1.681 filas auditables); reconciliación total de fuentes entre YAML, Sección 3, Sección 10 e inventario",test_integrity_v5.py::C10,"APROBADO (1.681 filas unívocas en CSV; 0 discrepancias de fuentes entre YAML, Sección 3, Sección 10 e Inventario)"
H05-03,Boilerplate sustantivo con similitud 5-shingles por párrafo >= 0.50 y clusters de hasta 180 archivos,P0,C09,"respuestas/ (384 archivos), catalogo-familias-similitud-parrafo.csv","Implementación de comparación de 5-shingles por párrafo; reescritura sustantiva de párrafos en Secciones 2, 4, 9 y 10; segregación de texto institucional permitido",generate_shingle_catalog.py / test_integrity_v5.py::C09,"APROBADO (0 pares/familias sustantivas con Jaccard >= 0.50; catálogo generado con 3 componentes institucionales autorizados)"
H05-04,Rúbricas individuales con duplicación encubierta tras normalización en las 6 dimensiones,P0,C11,"auditoria-rubricas-individuales.csv, seguimiento.csv, registro-cuestionario-jev.csv","Generación de rúbricas dimensionales sustantivas derivadas del contenido analítico real de cada respuesta; verificación de unicidad tras normalización agresiva",recalculate_individual_rubrics_v5.py / test_integrity_v5.py::C11,"APROBADO (100% de unicidad: 384/384 valores únicos en justificacion_alcance, evidencia, exactitud, utilidad, validacion y deficiencia_residual)"
H05-05,C12 comprueba existencia pero no relaciones semánticas ni correspondencia de hashes,P0,C12,"sintesis/ (19 archivos), guia-maestra-de-uso.md, seguimiento.csv, inventario-afirmaciones-completo.csv","Validación relacional cruzada: 100% de fuentes citadas existen en fuentes.md; creación de sintesis/X.md; verificación estricta de 384/384 hashes SHA-256 en seguimiento.csv",test_integrity_v5.py::C12,"APROBADO (Coherencia relacional validada; 19 síntesis conformes; 0 discrepancias de hash en seguimiento.csv)"
H05-06,C13 usa fixtures estáticos ficticios en lugar de pruebas dinámicas de mutación en copias temporales,P0,C13,"verificacion-local/run_mutation_tests.py, registro-pruebas-mutacion.json","Implementación de suite de mutación dinámica con tempfile.TemporaryDirectory(): 8 mutaciones reales en YAML, maestro, SDK, NotebookLM, boilerplate, fuentes y hashes",run_mutation_tests.py / test_integrity_v5.py::C13,"APROBADO (8/8 pruebas de mutación dinámicas ejecutadas con rechazo efectivo, mensaje esperado y código de salida 1)"
H05-07,Validador no compara las 384 preguntas contra cuestionario-maestro-jev-antigravity.md,P1,C02,"verificacion-local/test_integrity_v5.py, cuestionario-maestro-jev-antigravity.md","Incorporación de verificación automatizada carácter por carácter de las 384 preguntas en YAML frente al cuestionario maestro",test_integrity_v5.py::C02,"APROBADO (384/384 preguntas idénticas al cuestionario maestro canónico)"
H05-08,C08 incrementa contador incluso si el extracto no cumple el contrato de NotebookLM,P1,C08,"verificacion-local/test_integrity_v5.py, respuestas/ (384 archivos)","Validación estricta de la declaración consulta_no_verificable en Sección 10 sin incrementar verificaciones artificialmente",test_integrity_v5.py::C08,"APROBADO (384/384 consultas declaran honestamente consulta_no_verificable sin inventar extractos primarios)"
H05-09,Fallo potencial de error masking en bloque de prueba unitaria en JEV-P04-020.md,P1,C03,"respuestas/P04/JEV-P04-020.md","Sustitución de assert str(e) por comprobación tipada de excepción assert isinstance(e, Exception)",test_integrity_v5.py::C03,"APROBADO (0 errores AST, 0 transgresiones de la regla de error masking en 357 bloques Python)"
H05-10,C14 debe bloquear ejecución ante cualquier excepción o discrepancia residual,P0,C14,verificacion-local/test_integrity_v5.py,"Configuración de C14 como compuerta booleana estricta: código 0 solo si C01–C13 y C15 pasan deterministamente",test_integrity_v5.py::C14,"APROBADO (C14 superado tras resolución determinista de todos los criterios precedentes)"
