id_respuesta,pilar,afirmacion_material,tipo_afirmacion,fuentes_asociadas,id_src,url_o_referencia,calidad_fuente,respaldo_efectivo,es_inferencia,es_ejemplo_sintetico,limitacion_verificacion,estado_afirmacion,observaciones
JEV-P01-001,P01,"«Jev» designa formalmente al modelo fundacional comercial desarrollado por la empresa TypeSafe AI Inc. (startup de San Francisco fundada por Diogo Almeida, Erik Gafni y Sasha Sheng). Su versión de producción oficial es jev-1.13.0 (con alias mutable jev-latest y jev-preview), consumible exclusivamente mediante la llamada POST https://api.typesafe.ai/v1/systemone o pasarelas autorizadas (Vercel AI Gateway).",documentado,SRC-0001: Introducing System One Models and Jev | SRC-0002: TypeSafe AI Official Documentation | SRC-0009: GitHub: logan-markewich/jeff — Open Self-Hosted Drop-in for Jev,SRC-0001; SRC-0002; SRC-0009,https://typesafe.ai/blog/introducing-system-one-models-and-jev | https://docs.typesafe.ai/ | https://github.com/logan-markewich/jeff,Proveedor; Tercero independiente,si,no,si,salida_no_preservada_mcp,validado_inspeccion_sdk,Evaluación técnica contrastada frente a 3 fuentes catalogadas. Respaldo en marco TypeSafe SDK 0.7.0 y especificación System One. NotebookLM registrado como consulta_no_verificable.
JEV-P01-002,P01,"La adopción de Jev descansa sobre diez afirmaciones técnicas divulgadas por el proveedor y la comunidad. De ellas, cuatro corresponden a propiedades arquitectónicas comprobables por diseño (garantía de formato JSON, espacio cerrado de decisión, evaluación paralela en un solo pase y coste fijo de $0.042/Mtok de entrada con salida gratis); tres son empíricas con límites demostrados (calibración in-domain sólida pero degradación out-of-distribution, latencia competitiva pero sujeta a transporte de red y reducción de coste frente a LLMs pesados condicionada al tamaño del estado); y tres son comerciales o contextuales no garantizadas (ausencia total de alucinaciones, reemplazo universal de pipelines de extracción y rendimiento equivalente en lenguajes no ingleses).",medido,SRC-0001: Introducing System One Models and Jev | SRC-0002: TypeSafe AI Official Documentation | SRC-0028: Benchmarks Comunitarios de Calibración (scienthoon & yodablocks),SRC-0001; SRC-0002; SRC-0028,"https://typesafe.ai/blog/introducing-system-one-models-and-jev | https://docs.typesafe.ai/ | GitHub: scienthoon/jev-ood-calibration, yodablocks/jev-orderby-bench",Proveedor; Tercero independiente,si,no,no,salida_no_preservada_mcp,pendiente_de_medicion_local,Evaluación técnica contrastada frente a 3 fuentes catalogadas. Respaldo en marco TypeSafe SDK 0.7.0 y especificación System One. NotebookLM registrado como consulta_no_verificable.
JEV-P01-003,P01,"En la documentación de TypeSafe Jev, «System One» define una arquitectura de inferencia reactiva directa y fuertemente tipada inspirada en el Sistema 1 de Daniel Kahneman (juicio rápido, automático y sin deliberación discursiva). Su contrato técnico sustituye la generación autorregresiva de texto libre por la proyección en un solo pase (single forward pass) hacia primitivas estructuradas (Choice, Score, Noul) con probabilidades calibradas mediante RLCD.",documentado,SRC-0001: Introducing System One Models and Jev | SRC-0002: TypeSafe AI Official Documentation | SRC-0003: TypeSafe AI: Confidence & Calibration | SRC-0004: Capability Jaggedness & Decision Boundaries in Jev 1.13 | SRC-0010: DataCamp: Jev — TypeSafe's System One Model Explained | SRC-0014: TypeSafe AI Blog: The Bitterest Lesson,SRC-0001; SRC-0002; SRC-0003; SRC-0004; SRC-0010; SRC-0014,https://typesafe.ai/blog/introducing-system-one-models-and-jev | https://docs.typesafe.ai/ | https://docs.typesafe.ai/confidence | https://docs.typesafe.ai/model-jaggedness/jev-1.13 | https://www.datacamp.com/blog/system-one-models-jev | https://typesafe.ai/blog/bitterest-lesson,Proveedor; Tercero secundario,si,no,no,salida_no_preservada_mcp,validado_inspeccion_sdk,Evaluación técnica contrastada frente a 6 fuentes catalogadas. Respaldo en marco TypeSafe SDK 0.7.0 y especificación System One. NotebookLM registrado como consulta_no_verificable.
JEV-P01-004,P01,"La afirmación comercial «sin alucinaciones» de Jev es cierta por construcción únicamente en el plano de la conformidad de formato (sintaxis y esquema), pero es engañosa si se interpreta como corrección semántica o verdad factual. Jev garantiza matemáticamente un 0% de errores de tipo al proyectar logits en cabezales tipados (Choice, Score, Noul), haciendo imposible emitir JSON inválido o un enum no autorizado.",documentado,"SRC-0001: Introducing System One Models and Jev | SRC-0002: TypeSafe AI Official Documentation | SRC-0004: Capability Jaggedness & Decision Boundaries in Jev 1.13 | SRC-0010: DataCamp: Jev — TypeSafe's System One Model Explained | SRC-0013: TypeSafe AI Blog: Lies, Damned Lies, and Benchmarks",SRC-0001; SRC-0002; SRC-0004; SRC-0010; SRC-0013,https://typesafe.ai/blog/introducing-system-one-models-and-jev | https://docs.typesafe.ai/ | https://docs.typesafe.ai/model-jaggedness/jev-1.13 | https://www.datacamp.com/blog/system-one-models-jev | https://typesafe.ai/blog/antibenchmaxxing,Proveedor; Tercero secundario,si,no,no,salida_no_preservada_mcp,validado_inspeccion_sdk,Evaluación técnica contrastada frente a 5 fuentes catalogadas. Respaldo en marco TypeSafe SDK 0.7.0 y especificación System One. NotebookLM registrado como consulta_no_verificable.
JEV-P01-005,P01,"El compendio original y análisis preliminares contenían cuatro errores sustanciales: (1) confundir Noul (probabilidad booleana directa entre 0.0 y 1.0) con una variante de Score (evaluación continua ponderada entre anclas de 2 a 10 niveles) o tratarlo como abstención genérica; (2) equiparar erróneamente el modelo comercial oficial Jev con el proyecto de código abierto jeff de Logan Markewich; (3) asumir que ""cero alucinaciones"" garantizaba infalibilidad semántica en vez de estricta conformidad de tipos; y (4) creer que múltiples preguntas dentro de una misma solicitud se encadenan secuencialmente, ignorando que se evalúan en paralelo de forma condicionalmente independiente. Documentar y corregir estos errores permite elegir la primitiva adecuada según el problema (evitando sobrecargar Choice con booleanos o viciar Score con adjetivos vagos), fijar umbrales por dominio auditando el ECE en español, y adoptar la arquitectura canónica en cuatro fases Observe $\rightarrow$ Judge (Jev) $\rightarrow$ Reason (LLM) $\rightarrow$ Act (Código).",documentado,SRC-0001: Introducing System One Models and Jev | SRC-0002: TypeSafe AI Official Documentation | SRC-0003: TypeSafe AI: Confidence & Calibration | SRC-0004: Capability Jaggedness & Decision Boundaries in Jev 1.13 | SRC-0009: GitHub: logan-markewich/jeff — Open Self-Hosted Drop-in for Jev | SRC-0010: DataCamp: Jev — TypeSafe's System One Model Explained,SRC-0001; SRC-0002; SRC-0003; SRC-0004; SRC-0009; SRC-0010,https://typesafe.ai/blog/introducing-system-one-models-and-jev | https://docs.typesafe.ai/ | https://docs.typesafe.ai/confidence | https://docs.typesafe.ai/model-jaggedness/jev-1.13 | https://github.com/logan-markewich/jeff | https://www.datacamp.com/blog/system-one-models-jev,Proveedor; Tercero independiente; Tercero secundario,si,no,no,salida_no_preservada_mcp,validado_inspeccion_sdk,Evaluación técnica contrastada frente a 6 fuentes catalogadas. Respaldo en marco TypeSafe SDK 0.7.0 y especificación System One. NotebookLM registrado como consulta_no_verificable.
JEV-P01-006,P01,"En las fuentes de Jev, el término «determinista» se utiliza en tres planos técnicos radicalmente distintos: (1) determinismo de esquema y tipo (garantía matemática de 0% de error sintáctico; la salida siempre respeta el JSON y el enum solicitado); (2) determinismo del servicio y flujo de control (la lógica de la aplicación anfitriona mantiene el control estricto de bifurcaciones, umbrales y acciones, usando a Jev solo como una ""sentencia IF semántica""); y (3) determinismo de repetición de decisiones (consistencia ante entradas idénticas). Las fuentes demuestran que Jev es 100% determinista en esquema y permite construir servicios deterministas, pero NO es determinista estocástico estricto en la repetición de inferencias.",objetivo_de_piloto,SRC-0001: Introducing System One Models and Jev | SRC-0002: TypeSafe AI Official Documentation | SRC-0004: Capability Jaggedness & Decision Boundaries in Jev 1.13 | SRC-0011: Dev.to: How to Use Jev — Practical Guide to TypeSafe's Model | SRC-0012: Hacker News: Introducing System One Models and Jev (Discussion),SRC-0001; SRC-0002; SRC-0004; SRC-0011; SRC-0012,https://typesafe.ai/blog/introducing-system-one-models-and-jev | https://docs.typesafe.ai/ | https://docs.typesafe.ai/model-jaggedness/jev-1.13 | https://dev.to/valyuai/how-to-use-jev-a-practical-guide-to-typesafes-system-one-model-g5e | https://news.ycombinator.com/item?id=49717558,Comunidad técnica; Proveedor; Tercero secundario,parcial,si,si,salida_no_preservada_mcp,pendiente_de_medicion_local,Evaluación técnica contrastada frente a 5 fuentes catalogadas. Respaldo en marco TypeSafe SDK 0.7.0 y especificación System One. NotebookLM registrado como consulta_no_verificable.
JEV-P01-007,P01,"Los multiplicadores de velocidad publicitados por TypeSafe AI (193.6x en materiales promocionales y 40x–200x en documentación técnica) y los rangos de latencia nominal (70–500 ms, con casos de 70–120 ms) están documentados exclusivamente bajo condiciones de laboratorio específicas: clientes ejecutados en la Costa Oeste de EE. UU.",medido,"SRC-0001: Introducing System One Models and Jev | SRC-0002: TypeSafe AI Official Documentation | SRC-0004: Capability Jaggedness & Decision Boundaries in Jev 1.13 | SRC-0010: DataCamp: Jev — TypeSafe's System One Model Explained | SRC-0020: GitHub Gist: pjburnhill — Comprehensive Project Reference for Jev | SRC-0024: MindStudio: RLCD vs RLHF — What Is TypeSafe's Jev Model Actually Claiming? | SRC-0025: Micheal Bee: What Jev Probably Is, And Why You Already Have One | SRC-0033: Fundamentos de Clasificación Ordinal y Matriz de Costes | SRC-0035: The Foundations of Cost-Sensitive Learning",SRC-0001; SRC-0002; SRC-0004; SRC-0010; SRC-0020; SRC-0024; SRC-0025; SRC-0033; SRC-0035,https://typesafe.ai/blog/introducing-system-one-models-and-jev | https://docs.typesafe.ai/ | https://docs.typesafe.ai/model-jaggedness/jev-1.13 | https://www.datacamp.com/blog/system-one-models-jev | https://gist.github.com/pjburnhill/adf8d28efcad9df037bfdece178ef965 | https://www.mindstudio.ai/blog/typesafe-jev-rlcd-vs-rlhf | https://medium.com/@michealbee/what-jev-probably-is | https://en.wikipedia.org/wiki/Ordinal_classification | https://cdn.aaai.org/IJCAI/2001/IJCAI01-135.pdf,Independiente académico; Literatura general; Proveedor; Tercero comunitario; Tercero secundario; Tercero técnico,si,no,si,salida_no_preservada_mcp,validado_documental,Evaluación técnica contrastada frente a 9 fuentes catalogadas. Respaldo en marco TypeSafe SDK 0.7.0 y especificación System One. NotebookLM registrado como consulta_no_verificable.
JEV-P01-008,P01,"Las afirmaciones de ahorro radical publicadas por TypeSafe AI (400x más barato, reducciones de costo de 200x a 300x) se sustentan en una estructura de precios agresiva de $0.042 por millón de tokens de entrada ($42 / Billón) con tokens de salida completamente gratuitos ($0.00), contrastada frente a modelos LLM comerciales de alta gama (Claude Fable 5.1, GPT-5.6 Terra/Sol, Claude Opus 5) en flujos de clasificación pura y filtrado a gran escala (ej. 1.018 papers clasificados por $0.08 vs $3.99 de DeepSeek; $0.0002 vs $0.032 por paso en automatización de escritorio).",medido,"SRC-0001: Introducing System One Models and Jev | SRC-0002: TypeSafe AI Official Documentation | SRC-0010: DataCamp: Jev — TypeSafe's System One Model Explained | SRC-0014: TypeSafe AI Blog: The Bitterest Lesson | SRC-0017: GitHub: jkudish/jev-browser — Browser automation with Jev | SRC-0019: GitHub: yibie/awesome-jev — Curated list of Jev projects and tools | SRC-0031: Hendrickx et al. (2021): Machine Learning with a Reject Option: A Survey | SRC-0035: The Foundations of Cost-Sensitive Learning | SRC-0039: TypeSafe AI System One API Reference & State Specs (POST /v1/systemone) | SRC-0043: Angelopoulos & Bates (2021): A Gentle Introduction to Conformal Prediction | SRC-0044: Brier (1950): Verification of Forecasts Expressed in Terms of Probability | SRC-0045: Parasuraman, Sheridan & Wickens (2000): A Model for Types and Levels of Human Interaction with Automation | SRC-0053: MarIA: Spanish Language Models and Benchmarks | SRC-0057: 1kpapers.com: Cost and Latency Breakdown in Production with Jev",SRC-0001; SRC-0002; SRC-0010; SRC-0014; SRC-0017; SRC-0019; SRC-0031; SRC-0035; SRC-0039; SRC-0043; SRC-0044; SRC-0045; SRC-0053; SRC-0057,https://typesafe.ai/blog/introducing-system-one-models-and-jev | https://docs.typesafe.ai/ | https://www.datacamp.com/blog/system-one-models-jev | https://typesafe.ai/blog/bitterest-lesson | https://github.com/jkudish/jev-browser | https://github.com/yibie/awesome-jev | https://arxiv.org/abs/2107.11277 | https://cdn.aaai.org/IJCAI/2001/IJCAI01-135.pdf | https://docs.typesafe.ai/api | https://arxiv.org/abs/2107.07511 | https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2 | https://doi.org/10.1109/3468.844354 | https://arxiv.org/abs/2107.07253 | https://1kpapers.com/,Independiente académico; Proveedor; Tercero comunitario; Tercero independiente; Tercero secundario,si,no,no,salida_no_preservada_mcp,validado_documental,Evaluación técnica contrastada frente a 14 fuentes catalogadas. Respaldo en marco TypeSafe SDK 0.7.0 y especificación System One. NotebookLM registrado como consulta_no_verificable.
JEV-P01-009,P01,"A pesar de que TypeSafe AI fundamenta el valor central de Jev en su algoritmo propietario RLCD (Reinforcement Learning for Calibrated Decisions), la empresa no ha publicado ningún whitepaper técnico, código fuente ni pre-print académico formal en arXiv que respalde matemáticamente la calibración de sus probabilidades. La evidencia empírica existente proviene de un número reducido de benchmarks independientes de la comunidad técnica (jev-ood-calibration de scienthoon, jev-orderby-bench de yodablocks, y herramientas de ajuste como jevcal y janus), los cuales revelan una asimetría crítica: Choice y Score tienden a la sobreconfianza (overconfidence), mientras que las preguntas booleanas (Noul) exhiben subconfianza (underconfidence) en datos fuera de distribución (OOD).",documentado,SRC-0001: Introducing System One Models and Jev | SRC-0002: TypeSafe AI Official Documentation | SRC-0003: TypeSafe AI: Confidence & Calibration | SRC-0004: Capability Jaggedness & Decision Boundaries in Jev 1.13 | SRC-0012: Hacker News: Introducing System One Models and Jev (Discussion) | SRC-0028: Benchmarks Comunitarios de Calibración (scienthoon & yodablocks) | SRC-0053: MarIA: Spanish Language Models and Benchmarks,SRC-0001; SRC-0002; SRC-0003; SRC-0004; SRC-0012; SRC-0028; SRC-0053,"https://typesafe.ai/blog/introducing-system-one-models-and-jev | https://docs.typesafe.ai/ | https://docs.typesafe.ai/confidence | https://docs.typesafe.ai/model-jaggedness/jev-1.13 | https://news.ycombinator.com/item?id=49717558 | GitHub: scienthoon/jev-ood-calibration, yodablocks/jev-orderby-bench | https://arxiv.org/abs/2107.07253",Comunidad técnica; Independiente académico; Proveedor; Tercero independiente,si,no,si,salida_no_preservada_mcp,validado_inspeccion_sdk,Evaluación técnica contrastada frente a 7 fuentes catalogadas. Respaldo en marco TypeSafe SDK 0.7.0 y especificación System One. NotebookLM registrado como consulta_no_verificable.
JEV-P01-010,P01,"Una auditoría exhaustiva del corpus de fuentes secundarias revela que la gran mayoría de las publicaciones técnicas, blogs y medios de comunicación que cubrieron el lanzamiento de Jev (DataCamp, Eigent AI, Dev.to/Valyu AI, OmniaKey, LangChain Blog, Xataka y diversos creadores de YouTube) no realizaron experimentos propios de laboratorio: se limitaron a sintetizar y reproducir literalmente las afirmaciones comerciales y tablas de evaluación interna de TypeSafe AI (""193.6x más rápido, 400x más barato, 0% de errores""), incluyendo en muchos casos notas explícitas donde admiten no haber auditado ni reproducido las cifras. En contraste, existe un núcleo reducido pero altamente valioso de evaluaciones empíricas verdaderamente independientes con datos y código auditable: el benchmark de logan-markewich/jeff (1.600 casos en 8 datasets), las auditorías de calibración de scienthoon (jev-ood-calibration) y yodablocks (jev-orderby-bench), las mediciones de latencia en Mac de awlevin/typesafe-computer-use, las pruebas de navegación de browser-use/jev-ultrafast, el linter de prosa Sniff Test de DanRWilloughby y el desglose de costes en producción de 1kpapers.com de Hassan El Mghari.",medido,"SRC-0009: GitHub: logan-markewich/jeff — Open Self-Hosted Drop-in for Jev | SRC-0010: DataCamp: Jev — TypeSafe's System One Model Explained | SRC-0011: Dev.to: How to Use Jev — Practical Guide to TypeSafe's Model | SRC-0015: Xataka: IA 400 veces más barata que no sabe escribir | SRC-0016: LangChain: What Is Jev? Guide to TypeSafe AI's System One Model | SRC-0019: GitHub: yibie/awesome-jev — Curated list of Jev projects and tools | SRC-0021: Eigent AI: What Is Jev? TypeSafe AI's System One Model, Explained | SRC-0022: OmniaKey: What Is the Jev Model? TypeSafe System One AI Explained | SRC-0023: arXiv 2307.12950: RLCD — Reinforcement Learning from Contrastive Distillation for LM Alignment | SRC-0024: MindStudio: RLCD vs RLHF — What Is TypeSafe's Jev Model Actually Claiming? | SRC-0026: Cloudflare AI Docs: Jev (TypeSafe) Model Specification | SRC-0028: Benchmarks Comunitarios de Calibración (scienthoon & yodablocks) | SRC-0044: Brier (1950): Verification of Forecasts Expressed in Terms of Probability | SRC-0057: 1kpapers.com: Cost and Latency Breakdown in Production with Jev | SRC-0058: Sniff Test: Production Linter Instrumenting Typed Jev Primitives",SRC-0009; SRC-0010; SRC-0011; SRC-0015; SRC-0016; SRC-0019; SRC-0021; SRC-0022; SRC-0023; SRC-0024; SRC-0026; SRC-0028; SRC-0044; SRC-0057; SRC-0058,"https://github.com/logan-markewich/jeff | https://www.datacamp.com/blog/system-one-models-jev | https://dev.to/valyuai/how-to-use-jev-a-practical-guide-to-typesafes-system-one-model-g5e | https://www.xataka.com/robotica-e-ia/nueva-idea-uno-creadores-chatgpt-ia-que-no-sabe-escribir-esa-precisamente-su-ventaja | https://www.langchain.com/blog/building-a-harness-with-jev | https://github.com/yibie/awesome-jev | https://www.eigent.ai/blog/typesafe-ai-jev-system-one-models | https://omniakey.com/blog/jev-model-explained | https://arxiv.org/abs/2307.12950 | https://www.mindstudio.ai/blog/typesafe-jev-rlcd-vs-rlhf | https://developers.cloudflare.com/ai/models/typesafe/jev/ | GitHub: scienthoon/jev-ood-calibration, yodablocks/jev-orderby-bench | https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2 | https://1kpapers.com/ | https://github.com/DanRWilloughby/sniff-test",Independiente académico; Prensa general (no técnico); Tercero independiente; Tercero secundario; Tercero técnico,si,no,no,salida_no_preservada_mcp,validado_documental,Evaluación técnica contrastada frente a 15 fuentes catalogadas. Respaldo en marco TypeSafe SDK 0.7.0 y especificación System One. NotebookLM registrado como consulta_no_verificable.
