id,pilar,pregunta,puntuacion_alcance,justificacion_alcance,puntuacion_evidencia,justificacion_evidencia,puntuacion_exactitud,justificacion_exactitud,puntuacion_utilidad,justificacion_utilidad,puntuacion_validacion,justificacion_validacion,puntuacion_total,evidencia_observada,deficiencia_residual,estado,fecha,metodo_calculo
JEV-P01-001,P01,"¿Qué producto, proveedor, modelo y versiones designa exactamente «Jev» en las fuentes, y qué nombres similares podrían inducir a investigar otro sistema?",4,"Alcance específico y bien delimitado para JEV-P01-001: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué producto, proveedor, modelo y versiones desig...'.",4,"Evidencia externa verificable basada en 3 fuentes oficiales (SRC-0001, SRC-0002, SRC-0009); reducida a 4/5 por centinela de herramienta no expuesta.",5,"Contratos técnicos conformes con SDK 0.7.0 (Choice/Score/Noul), compilación AST limpia y enmascaramiento estricto de excepciones en Python.",5,"Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué producto, proveedor, modelo y versiones desig...'.",3,Verificación estática mediante parsing AST e instanciación de tipos; código rotulado como ejemplo ilustrativo no ejecutado.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0009. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-002,P01,¿Cuáles son las diez afirmaciones más relevantes para adoptarlo y qué evidencia original respalda o limita cada una?,4,"Alcance específico y bien delimitado para JEV-P01-002: aborda supuestos, términos y condiciones de aplicabilidad para '¿Cuáles son las diez afirmaciones más relevantes p...'.",4,"Evidencia externa verificable basada en 3 fuentes oficiales (SRC-0001, SRC-0002, SRC-0028); reducida a 4/5 por centinela de herramienta no expuesta.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Cuáles son las diez afirmaciones más relevantes p...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0028. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-003,P01,"¿Qué significa «System One» en la documentación y qué conclusiones sobre inteligencia, razonamiento o capacidades no permite extraer esa denominación?",4,"Alcance específico y bien delimitado para JEV-P01-003: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué significa «System One» en la documentación y ...'.",4,"Contraste documental sólido con 6 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0010, SRC-0014); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué significa «System One» en la documentación y ...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0010, SRC-0014. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-004,P01,"¿Cómo distinguir conformidad de formato, corrección semántica y verdad factual al evaluar la afirmación «sin alucinaciones»?",4,"Alcance específico y bien delimitado para JEV-P01-004: aborda supuestos, términos y condiciones de aplicabilidad para '¿Cómo distinguir conformidad de formato, correcció...'.",4,"Contraste documental sólido con 5 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0010, SRC-0013); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,"Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Cómo distinguir conformidad de formato, correcció...'.",4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0004, SRC-0010, SRC-0013. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-005,P01,"¿Qué errores o ambigüedades del compendio original cambiarían nuestra elección de primitivas, umbrales o arquitectura, y cómo deben corregirse documentalmente?",4,"Alcance específico y bien delimitado para JEV-P01-005: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué errores o ambigüedades del compendio original...'.",4,"Contraste documental sólido con 6 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0009, SRC-0010); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué errores o ambigüedades del compendio original...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0009, SRC-0010. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-006,P01,"¿Qué significados de «determinista» aparecen en las fuentes y cuáles se refieren al esquema, al servicio o a la repetición de decisiones?",4,"Alcance específico y bien delimitado para JEV-P01-006: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué significados de «determinista» aparecen en la...'.",4,"Contraste documental sólido con 5 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0011, SRC-0012); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,"Contratos técnicos conformes con SDK 0.7.0 (Choice/Score/Noul), compilación AST limpia y enmascaramiento estricto de excepciones en Python.",5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué significados de «determinista» aparecen en la...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0004, SRC-0011, SRC-0012. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-007,P01,¿Bajo qué condiciones están documentados los multiplicadores de velocidad y qué partes del proceso quedan fuera de esas mediciones?,4,"Alcance específico y bien delimitado para JEV-P01-007: aborda supuestos, términos y condiciones de aplicabilidad para '¿Bajo qué condiciones están documentados los multi...'.",4,"Contraste documental sólido con 9 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0010, SRC-0020, SRC-0024, SRC-0025, SRC-0033, SRC-0035); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,"Contratos técnicos conformes con SDK 0.7.0 (TypeSafeClient), compilación AST limpia y enmascaramiento estricto de excepciones en Python.",5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Bajo qué condiciones están documentados los multi...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0004, SRC-0010, SRC-0020, SRC-0024, SRC-0025, SRC-0033, SRC-0035. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-008,P01,"¿Qué comparadores, volúmenes, precios y supuestos sostienen las afirmaciones de ahorro, y cuáles impiden extrapolarlas a nuestros flujos?",4,"Alcance específico y bien delimitado para JEV-P01-008: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué comparadores, volúmenes, precios y supuestos ...'.",4,"Contraste documental sólido con 14 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0010, SRC-0014, SRC-0017, SRC-0019, SRC-0031, SRC-0035, SRC-0039, SRC-0043, SRC-0044, SRC-0045, SRC-0053, SRC-0057); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,"Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué comparadores, volúmenes, precios y supuestos ...'.",4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0010, SRC-0014, SRC-0017, SRC-0019, SRC-0031, SRC-0035, SRC-0039, SRC-0043, SRC-0044, SRC-0045, SRC-0053, SRC-0057. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-009,P01,"¿Qué pruebas publicadas de calibración existen y qué grupos, tareas o versiones no cubren?",4,"Alcance específico y bien delimitado para JEV-P01-009: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué pruebas publicadas de calibración existen y q...'.",4,"Contraste documental sólido con 7 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0012, SRC-0028, SRC-0053); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,"Contratos técnicos conformes con SDK 0.7.0 (Choice/Score/Noul), compilación AST limpia y enmascaramiento estricto de excepciones en Python.",5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué pruebas publicadas de calibración existen y q...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0012, SRC-0028, SRC-0053. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
JEV-P01-010,P01,¿Cuáles de las fuentes aparentemente independientes repiten el mismo anuncio o benchmark sin aportar mediciones propias?,4,"Alcance específico y bien delimitado para JEV-P01-010: aborda supuestos, términos y condiciones de aplicabilidad para '¿Cuáles de las fuentes aparentemente independiente...'.",4,"Contraste documental sólido con 15 fuentes catalogadas (SRC-0009, SRC-0010, SRC-0011, SRC-0015, SRC-0016, SRC-0019, SRC-0021, SRC-0022, SRC-0023, SRC-0024, SRC-0026, SRC-0028, SRC-0044, SRC-0057, SRC-0058); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente.",4,Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas.,5,Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Cuáles de las fuentes aparentemente independiente...'.,4,Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red.,21/25,"Fuentes registradas: SRC-0009, SRC-0010, SRC-0011, SRC-0015, SRC-0016, SRC-0019, SRC-0021, SRC-0022, SRC-0023, SRC-0024, SRC-0026, SRC-0028, SRC-0044, SRC-0057, SRC-0058. Contratos validados contra typesafe-sdk 0.7.0. Bloque Python con ast.parse() exitoso. Trazabilidad con cuaderno canónico de P01.",Salida cruda de NotebookLM no preservada en conector local (consulta_no_verificable). Integración en red y banco de pruebas empírico pendientes de ejecución en piloto.,en_revision,2026-09-20,evaluacion_individual_por_evidencia_ast_fuentes_y_contratos
