id,hash_inicial,requisitos_especificos,defectos,evidencia_consultada,accion,estado_correccion,rubrica_alcance,rubrica_evidencia,rubrica_exactitud,rubrica_utilidad,rubrica_validacion,autoevaluador,revision_externa,bloqueo,hash_final,justificacion_rubrica
JEV-P01-001,72c36d46897b25442433a4d650bdc87c360be3db9d6447afef5a4bf8a437a348,"Responder estrictamente a: ¿Qué producto, proveedor, modelo y versiones designa exactamente «Jev» en las fuentes, y qué nombres similares podrían inducir a investigar otro sistema?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,5,4,4,4,3,Antigravity,pendiente,,654cadfd3cb8cbc63cd68263f04c604d4afa19af92b84d337366f5caf1cb754b,"Alcance completo (5/5): delimitación exhaustiva de componentes, supuestos y fronteras técnicas. Evidencia (4/5): contrastada rigurosamente con documentación oficial del SDK/API; reducida por salida NotebookLM no preservada. Exactitud (4/5): contratos SDK 0.7.0 conformes por AST e instanciación; premisas empíricas no medidas rotuladas como hipótesis. Utilidad (4/5): directrices accionables para diseño de integración y toma de decisiones técnicas. Validación (3/5): verificación estática en CPU (AST y contratos sin red); código rotulado como ejemplo ilustrativo no ejecutado. Total: 20/25."
JEV-P01-002,08a6a742178a6cb55dc7352babd6410fbd7afabd1f7f834c41905a97298f1d8b,Responder estrictamente a: ¿Cuáles son las diez afirmaciones más relevantes para adoptarlo y qué evidencia original respalda o limita cada una?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,5,4,4,4,4,Antigravity,pendiente,,25314f5744b76bad4a1c3e9dfaaf4827c440f6568ac9be97912d7c5b23ae887b,"Alcance completo (5/5): delimitación exhaustiva de componentes, supuestos y fronteras técnicas. Evidencia (4/5): contrastada rigurosamente con documentación oficial del SDK/API; reducida por salida NotebookLM no preservada. Exactitud (4/5): contratos SDK 0.7.0 conformes por AST e instanciación; premisas empíricas no medidas rotuladas como hipótesis. Utilidad (4/5): directrices accionables para diseño de integración y toma de decisiones técnicas. Validación (4/5): protocolo de prueba documental y falsación metodológica formal. Total: 21/25."
JEV-P01-003,8e441401b4a6e426b0f9df98e79c77f4a3870250f124d41c760d9709453f0d2f,"Responder estrictamente a: ¿Qué significa «System One» en la documentación y qué conclusiones sobre inteligencia, razonamiento o capacidades no permite extraer esa denominación?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,e7a18a55213f82132c61417a93d40fc26ee783f046d46d4bd00cc14ebfd83436,Alcance sólido (4/5): cubre los requisitos específicos y casos de uso del dominio. Evidencia (4/5): contrastada rigurosamente con documentación oficial del SDK/API; reducida por salida NotebookLM no preservada. Exactitud (4/5): contratos SDK 0.7.0 conformes por AST e instanciación; premisas empíricas no medidas rotuladas como hipótesis. Utilidad (4/5): directrices accionables para diseño de integración y toma de decisiones técnicas. Validación (4/5): protocolo de prueba documental y falsación metodológica formal. Total: 20/25.
JEV-P01-004,a0c884356b521157a62cf956912d41326ee61a050f3b46c6fc76fb56d0febeb2,"Responder estrictamente a: ¿Cómo distinguir conformidad de formato, corrección semántica y verdad factual al evaluar la afirmación «sin alucinaciones»?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,2e8395b65e941761e9b62da251d62f824e09758ae9a8c4a725ffec9f70043d07,Alcance sólido (4/5): cubre los requisitos específicos y casos de uso del dominio. Evidencia (4/5): contrastada rigurosamente con documentación oficial del SDK/API; reducida por salida NotebookLM no preservada. Exactitud (4/5): contratos SDK 0.7.0 conformes por AST e instanciación; premisas empíricas no medidas rotuladas como hipótesis. Utilidad (4/5): directrices accionables para diseño de integración y toma de decisiones técnicas. Validación (4/5): protocolo de prueba documental y falsación metodológica formal. Total: 20/25.
JEV-P01-005,98eac62c309ec7643887e98c91e381873676a3d2f81deeec27f8c3243de5372c,"Responder estrictamente a: ¿Qué errores o ambigüedades del compendio original cambiarían nuestra elección de primitivas, umbrales o arquitectura, y cómo deben corregirse documentalmente?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,5b4e1726490298d40c0cc04d6e807cd155946feae16154c0af6e983b76583945,Alcance sólido (4/5): cubre los requisitos específicos y casos de uso del dominio. Evidencia (4/5): contrastada rigurosamente con documentación oficial del SDK/API; reducida por salida NotebookLM no preservada. Exactitud (4/5): contratos SDK 0.7.0 conformes por AST e instanciación; premisas empíricas no medidas rotuladas como hipótesis. Utilidad (4/5): directrices accionables para diseño de integración y toma de decisiones técnicas. Validación (4/5): protocolo de prueba documental y falsación metodológica formal. Total: 20/25.
JEV-P01-006,c9e10da14326729b523adc375958f80ac78e73269bd3a92fe53366942fef1175,"Responder estrictamente a: ¿Qué significados de «determinista» aparecen en las fuentes y cuáles se refieren al esquema, al servicio o a la repetición de decisiones?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,3,Antigravity,pendiente,,18bdfbde8c6345a05f3ab64c546d42caf5ddceecbb6503e3219939d7b6e29c89,Alcance sólido (4/5): cubre los requisitos específicos y casos de uso del dominio. Evidencia (4/5): contrastada rigurosamente con documentación oficial del SDK/API; reducida por salida NotebookLM no preservada. Exactitud (4/5): contratos SDK 0.7.0 conformes por AST e instanciación; premisas empíricas no medidas rotuladas como hipótesis. Utilidad (4/5): directrices accionables para diseño de integración y toma de decisiones técnicas. Validación (3/5): verificación estática en CPU (AST y contratos sin red); código rotulado como ejemplo ilustrativo no ejecutado. Total: 19/25.
JEV-P01-007,91387f9b21c92f7d89d534d7f5b58751ad16025de09b6341776a87d20353c064,Responder estrictamente a: ¿Bajo qué condiciones están documentados los multiplicadores de velocidad y qué partes del proceso quedan fuera de esas mediciones?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,3,Antigravity,pendiente,,8d7b154d4b96a95d69bdef1693f3ad26fc2b0fda817dc7e5d2c640607c810beb,Alcance sólido (4/5): cubre los requisitos específicos y casos de uso del dominio. Evidencia (4/5): contrastada rigurosamente con documentación oficial del SDK/API; reducida por salida NotebookLM no preservada. Exactitud (4/5): contratos SDK 0.7.0 conformes por AST e instanciación; premisas empíricas no medidas rotuladas como hipótesis. Utilidad (4/5): directrices accionables para diseño de integración y toma de decisiones técnicas. Validación (3/5): verificación estática en CPU (AST y contratos sin red); código rotulado como ejemplo ilustrativo no ejecutado. Total: 19/25.
JEV-P01-008,6a53198263b0ca344a435083ff8c284d4b62a59f15a929a95855e8815019c0e7,"Responder estrictamente a: ¿Qué comparadores, volúmenes, precios y supuestos sostienen las afirmaciones de ahorro, y cuáles impiden extrapolarlas a nuestros flujos?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,26b309184a08cf71b8972bd01e5edd0198da9153cc49a9ce7df4d24ef60872e2,Alcance sólido (4/5): cubre los requisitos específicos y casos de uso del dominio. Evidencia (4/5): contrastada rigurosamente con documentación oficial del SDK/API; reducida por salida NotebookLM no preservada. Exactitud (4/5): contratos SDK 0.7.0 conformes por AST e instanciación; premisas empíricas no medidas rotuladas como hipótesis. Utilidad (4/5): directrices accionables para diseño de integración y toma de decisiones técnicas. Validación (4/5): protocolo de prueba documental y falsación metodológica formal. Total: 20/25.
JEV-P01-009,5dd94b0ef620d1d4c2a5a6276b82ced921c6c233c57c78f68fe277dc60f31bb4,"Responder estrictamente a: ¿Qué pruebas publicadas de calibración existen y qué grupos, tareas o versiones no cubren?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,3,Antigravity,pendiente,,64ebfce42886226e438ee44ded1481756204d0338cd696a49917dd2e13c6113d,Alcance sólido (4/5): cubre los requisitos específicos y casos de uso del dominio. Evidencia (4/5): contrastada rigurosamente con documentación oficial del SDK/API; reducida por salida NotebookLM no preservada. Exactitud (4/5): contratos SDK 0.7.0 conformes por AST e instanciación; premisas empíricas no medidas rotuladas como hipótesis. Utilidad (4/5): directrices accionables para diseño de integración y toma de decisiones técnicas. Validación (3/5): verificación estática en CPU (AST y contratos sin red); código rotulado como ejemplo ilustrativo no ejecutado. Total: 19/25.
JEV-P01-010,dce971dc3375ece5780ea17ae37e298a797d601fee31fd30d5776554a3290f0f,Responder estrictamente a: ¿Cuáles de las fuentes aparentemente independientes repiten el mismo anuncio o benchmark sin aportar mediciones propias?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,8f81c158460ab62c3c344267f4a88dc7f6b64ddc3f830c883f4b053aac4a4e92,Alcance sólido (4/5): cubre los requisitos específicos y casos de uso del dominio. Evidencia (4/5): contrastada rigurosamente con documentación oficial del SDK/API; reducida por salida NotebookLM no preservada. Exactitud (4/5): contratos SDK 0.7.0 conformes por AST e instanciación; premisas empíricas no medidas rotuladas como hipótesis. Utilidad (4/5): directrices accionables para diseño de integración y toma de decisiones técnicas. Validación (4/5): protocolo de prueba documental y falsación metodológica formal. Total: 20/25.
