id,pilar,prioridad,notebook_principal,estado,responsable,archivo_respuesta,fecha_revision,puntuacion_autoevaluacion,puntuacion_revision_independiente,resultado_revision,bloqueo
JEV-P01-001,P01,A,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-001.md,2026-09-20,19/20,pendiente,pendiente,
JEV-P01-002,P01,A,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-002.md,2026-09-20,19/20,pendiente,pendiente,
JEV-P01-003,P01,A,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-003.md,2026-09-20,19/20,pendiente,pendiente,
JEV-P01-004,P01,A,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-004.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-005,P01,A,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-005.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-006,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-006.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-007,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-007.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-008,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-008.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-009,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-009.md,2026-09-20,20/20,pendiente,pendiente,
JEV-P01-010,P01,B,https://notebook.google.com/notebook/73562a8d-849b-459d-8f96-755f359a665f,en_revision,Antigravity,docs/programa-jev/base-conocimiento/respuestas/P01/JEV-P01-010.md,2026-09-20,20/20,pendiente,pendiente,
