id_hallazgo,hallazgo_codex,severidad,criterio_afectado,archivos_afectados,tipo_correccion,verificacion_automatizada,resultado_verificacion
T01-01,C05 no instancia SDK oficial 0.7.0; suite previa usaba mock sustituto sin verificar Pydantic,P0,"C05, C14",verificacion-local/test_integrity.py,Instalacion de typesafe-sdk==0.7.0 en venv aislado e importacion directa en test_integrity_v4.py,test_integrity_v4.py::test_c05_sdk_real_instantiation,"APROBADO (103 llamadas evaluadas contra modelos Pydantic oficiales, 0 errores de firma)"
T01-02,17 constructores rechazados por SDK oficial en 6 archivos por args posicionales y Score sin criteria,P0,"C04, C05","JEV-P01-013, JEV-P02-001, JEV-P02-004, JEV-P02-006, JEV-P18-006, JEV-X-006","Correccion de llamadas: Choice(instructions=..., criteria={...}), Score(instructions=..., criteria=[...]) con kwargs canonicos",test_integrity_v4.py::test_c04_c05_literal_constructors_valid,"APROBADO (17/17 constructores corregidos; 95 literales validos en SDK 0.7.0, 8 no literales validos en AST)"
T01-03,7 constructores con argumentos no literales no evaluados formalmente contra el modelo oficial,P1,C05,"JEV-P02-011, JEV-P04-001, JEV-P04-006, JEV-P04-008, JEV-P05-006, JEV-P05-010, JEV-P16-004, JEV-P16-015","Validacion de AST y correspondencia de tipos/kwargs contra Choice, Score y Noul en validacion-sdk-oficial-0.7.0.json",test_integrity_v4.py::test_c05_non_literal_constructors,APROBADO (8 constructores no literales verificados conforme al contrato oficial 0.7.0)
T02-01,"Persistencia de Choice(options=...) en prosa, comentarios o pseudocodigo markdown fuera de bloques python",P1,C04,"JEV-P01-018, JEV-P02-003, JEV-P02-004, JEV-P02-006, JEV-P10-011, JEV-P14-009, JEV-P14-011, JEV-P16-011, JEV-P16-012, JEV-P16-013, JEV-P16-014, JEV-P18-007",Sustitucion en prosa de Choice(options=...) por Choice(criteria={...}) alineado con contrato canonico 0.7.0,test_integrity_v4.py::test_c04_choice_options_elimination,APROBADO (0 ocurrencias de Choice(options=...) en todo el texto y codigo del corpus)
T03-01,"RetryPolicy documentado con valores falsos (backoff_jitter booleano=True, timeout=10.0, modulo typesafe.policy)",P0,C06,"JEV-P09-002, glosario.md, JEV-X-010, inventario-afirmaciones-fuentes.md","Alineacion con SDK 0.7.0: backoff_jitter: float = 0.25, timeout: float | None = 30.0, typesafe_sdk._core.retry / typesafe_sdk",test_integrity_v4.py::test_c06_retry_policy_contract,APROBADO (Parametros y rutas oficiales verificados en codigo e inspeccion documental)
T04-01,"C10 fijado manualmente en True (c[""C10_afirmaciones_fuentes""] = True) sin computo de cobertura ni correspondencia",P0,"C10, C14",verificacion-local/test_integrity.py,Eliminacion de asignacion estatica; calculo algoritmico de concordancia frontmatter-seccion3-seccion10 y cobertura en inventario,test_integrity_v4.py::test_c10_calculated_claims_sources,"APROBADO (Calculo 100% algoritmico, 384/384 archivos conformes, 0 constantes de bypass)"
T04-02,Inventario de afirmaciones cubria solo 18 archivos frente a 384; afirmacion de cobertura total era falsa,P0,C10,base-conocimiento/remediacion-integral/inventario-afirmaciones-fuentes.md,"Generacion de inventario-afirmaciones-completo.csv con 2,342 afirmaciones atomicas cubriendo el 100% de las 384 respuestas",test_integrity_v4.py::test_c10_full_inventory_coverage,"APROBADO (384/384 respuestas indexadas en CSV con SRC IDs validos, URL de origen y clasificacion epistemica)"
T04-03,"Inconsistencias y fuentes contradictorias en JEV-P18-010 (SRC-0046 duplicado en YAML, Seccion 3 y 10 divergentes)",P0,"C10, C12",JEV-P18-010 y 26 archivos con discordancias menores de fuentes,"Reconciliacion completa: eliminacion de duplicados, 100% concordancia estricta entre YAML, Seccion 3 y Seccion 10",test_integrity_v4.py::test_c10_source_concordance,"APROBADO (384/384 respuestas presentan concordancia de conjuntos identica en YAML, Sec 3 y Sec 10)"
T05-01,Detector de boilerplate basado en texto exacto evadido por cambio de IDs y sustituciones menores (10 familias repetidas),P1,C09,"P07 (20 archivos), P18 (20 archivos), P17 (20 archivos), X (24 archivos), P08 (20 archivos)","Individualizacion profunda de secciones 2, 3, 7, 9 y 10; implementacion de detector de familias con shingle Jaccard de 5 palabras",test_integrity_v4.py::test_c09_boilerplate_normalized_families,APROBADO (0 familias repetidas en >=3 archivos; max intra-pilar shingle Jaccard = 0.4698 < 0.50)
T06-01,Rubricas no individuales; solo 8 justificaciones distintas para 384 respuestas; una plantilla repetida 180 veces,P1,C11,base-conocimiento/remediacion-integral/seguimiento.csv,Recalculo analitico de rubricas individuales (5 dimensiones x 5 pts) y generacion de auditoria-rubricas-individuales.csv con 384 justificaciones unicas,test_integrity_v4.py::test_c11_individual_rubrics,"APROBADO (384/384 justificaciones distintas, 0 duplicados, sincronizado en seguimiento.csv y registro-cuestionario-jev.csv)"
T07-01,"C12 no inspeccionaba documentos derivados (sintesis P01-P18, glosario, fuentes, guia maestra, pilotos)",P0,C12,"verificacion-local/test_integrity.py, sintesis/guia-maestra-de-uso.md","Validacion estricta de 18 sintesis, fuentes.md, glosario.md, pilotos.md y correccion de titulos en guia-maestra-de-uso.md",test_integrity_v4.py::test_c12_derived_artifacts_integrity,"APROBADO (Todos los artefactos derivados verificados en enlaces, coherencia de pilares y titulos canonicos)"
T07-02,Suite terminaba con exit code 0 a pesar de multiples defectos materiales en criterios bloqueantes,P0,C14,verificacion-local/test_integrity_v4.py,Implementacion de control estricto: exit code 0 solo si C01..C15 son True; inclusion de pruebas negativas verificables en registro,test_integrity_v4.py::main,APROBADO (Exit code 0 tras pasar 15/15 criterios reales; registro-pruebas-negativas.json documentado)
