id,hash_inicial,requisitos_especificos,defectos,evidencia_consultada,accion,estado_correccion,rubrica_alcance,rubrica_evidencia,rubrica_exactitud,rubrica_utilidad,rubrica_validacion,autoevaluador,revision_externa,bloqueo,hash_final
JEV-P01-001,72c36d46897b25442433a4d650bdc87c360be3db9d6447afef5a4bf8a437a348,"Responder estrictamente a: ¿Qué producto, proveedor, modelo y versiones designa exactamente «Jev» en las fuentes, y qué nombres similares podrían inducir a investigar otro sistema?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,5,4,4,4,Antigravity,pendiente,,5c94a24d16d39f5841327356bda3354399753b2da8c641bb29a1ad375cb90b24
JEV-P01-002,08a6a742178a6cb55dc7352babd6410fbd7afabd1f7f834c41905a97298f1d8b,Responder estrictamente a: ¿Cuáles son las diez afirmaciones más relevantes para adoptarlo y qué evidencia original respalda o limita cada una?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,5,5,4,4,Antigravity,pendiente,,1a213c65b6c3c0f267684fb828ade580fa6ab998a724eaafac0f31b8204b1ce8
JEV-P01-003,8e441401b4a6e426b0f9df98e79c77f4a3870250f124d41c760d9709453f0d2f,"Responder estrictamente a: ¿Qué significa «System One» en la documentación y qué conclusiones sobre inteligencia, razonamiento o capacidades no permite extraer esa denominación?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,5,4,5,4,Antigravity,pendiente,,ded536f5fddcc49684470d28d68681cb5f6a20ea6481656c4266f34765a6915a
JEV-P01-004,a0c884356b521157a62cf956912d41326ee61a050f3b46c6fc76fb56d0febeb2,"Responder estrictamente a: ¿Cómo distinguir conformidad de formato, corrección semántica y verdad factual al evaluar la afirmación «sin alucinaciones»?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,5,5,4,4,Antigravity,pendiente,,0e5d61b0b76c9a00cbc728ca1c79624bebc8289336f3d387fca389a5b44d71a4
JEV-P01-005,98eac62c309ec7643887e98c91e381873676a3d2f81deeec27f8c3243de5372c,"Responder estrictamente a: ¿Qué errores o ambigüedades del compendio original cambiarían nuestra elección de primitivas, umbrales o arquitectura, y cómo deben corregirse documentalmente?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,5,5,4,4,Antigravity,pendiente,,36c328e87b01c01ff5c7ae0dbf581fae6380f19c193ca7c1772a35a8441c983e
JEV-P01-006,c9e10da14326729b523adc375958f80ac78e73269bd3a92fe53366942fef1175,"Responder estrictamente a: ¿Qué significados de «determinista» aparecen en las fuentes y cuáles se refieren al esquema, al servicio o a la repetición de decisiones?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,5,4,4,4,Antigravity,pendiente,,bd4def37324eee8dc1a4e36a66c02a40806498329d97441797577690082097af
JEV-P01-007,91387f9b21c92f7d89d534d7f5b58751ad16025de09b6341776a87d20353c064,Responder estrictamente a: ¿Bajo qué condiciones están documentados los multiplicadores de velocidad y qué partes del proceso quedan fuera de esas mediciones?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,5,5,4,4,4,Antigravity,pendiente,,43aba90c08a3dfb648f38f607a6a9aef4c519f9d12495922c42da495e048caf1
JEV-P01-008,6a53198263b0ca344a435083ff8c284d4b62a59f15a929a95855e8815019c0e7,"Responder estrictamente a: ¿Qué comparadores, volúmenes, precios y supuestos sostienen las afirmaciones de ahorro, y cuáles impiden extrapolarlas a nuestros flujos?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,5,4,4,4,Antigravity,pendiente,,09fad006710fca6d4961baa15a8ff14c26c77b5c499d24c4f05c15dd5971a90c
JEV-P01-009,5dd94b0ef620d1d4c2a5a6276b82ced921c6c233c57c78f68fe277dc60f31bb4,"Responder estrictamente a: ¿Qué pruebas publicadas de calibración existen y qué grupos, tareas o versiones no cubren?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,5,4,4,4,Antigravity,pendiente,,e516eb61ce659156fda64fe5ec4f052bf170f2e1145acdb4790d6a87ce298c93
JEV-P01-010,dce971dc3375ece5780ea17ae37e298a797d601fee31fd30d5776554a3290f0f,Responder estrictamente a: ¿Cuáles de las fuentes aparentemente independientes repiten el mismo anuncio o benchmark sin aportar mediciones propias?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,5,4,4,4,Antigravity,pendiente,,e30a4e1adf6f6760bdce3ce41e2070cadd2c39dcaf0eb048ab5932028fd7c046
