id_afirmacion,id_respuesta,pilar,pregunta,texto_afirmacion,fuente_src,titulo_fuente,url_fuente,tipo_relacion_respaldo,limite_epistemico
AF-JEV-P17-001-01,JEV-P17-001,P17,"¿Qué estructura conecta pregunta, afirmación, evidencia, decisión y experimento para que la base sea reutilizable y auditable?","Fundamentación técnica documentada en Introducing System One Models and Jev relativa a ¿qué estructura conecta pregunta, afirmación, evidencia, decisión y experimento para que l...",SRC-0001,Fuente SRC-0001,https://typesafe.ai/blog/introducing-system-one-models-and-jev,documentado_proveedor,Válido bajo contrato typesafe-sdk 0.7.0 y supuestos operacionales del Pilar P17.
AF-JEV-P17-001-02,JEV-P17-001,P17,"¿Qué estructura conecta pregunta, afirmación, evidencia, decisión y experimento para que la base sea reutilizable y auditable?","Fundamentación técnica documentada en TypeSafe AI Concepts: Use Case Map relativa a ¿qué estructura conecta pregunta, afirmación, evidencia, decisión y experimento para que l...",SRC-0005,Fuente SRC-0005,https://docs.typesafe.ai/concepts/use-case-map,documentado_proveedor,Válido bajo contrato typesafe-sdk 0.7.0 y supuestos operacionales del Pilar P17.
AF-JEV-P17-001-03,JEV-P17-001,P17,"¿Qué estructura conecta pregunta, afirmación, evidencia, decisión y experimento para que la base sea reutilizable y auditable?","Fundamentación técnica documentada en OmniaKey: What Is the Jev Model? TypeSafe System One AI Explained relativa a ¿qué estructura conecta pregunta, afirmación, evidencia, decisión y experimento para que l...",SRC-0022,Fuente SRC-0022,https://omniakey.com/blog/jev-model-explained,referencia_tecnica,Válido bajo contrato typesafe-sdk 0.7.0 y supuestos operacionales del Pilar P17.
AF-JEV-P17-001-04,JEV-P17-001,P17,"¿Qué estructura conecta pregunta, afirmación, evidencia, decisión y experimento para que la base sea reutilizable y auditable?","Fundamentación técnica documentada en Belebele: Parallel Multi-variant Reading Comprehension relativa a ¿qué estructura conecta pregunta, afirmación, evidencia, decisión y experimento para que l...",SRC-0051,Fuente SRC-0051,https://arxiv.org/abs/2308.16884,referencia_tecnica,Válido bajo contrato typesafe-sdk 0.7.0 y supuestos operacionales del Pilar P17.
AF-JEV-P17-002-01,JEV-P17-002,P17,¿Cómo asignar identificadores estables a fuentes y afirmaciones sin duplicar evidencia compartida por varios notebooks?,Fundamentación técnica documentada en Introducing System One Models and Jev relativa a ¿cómo asignar identificadores estables a fuentes y afirmaciones sin duplicar evidencia com...,SRC-0001,Fuente SRC-0001,https://typesafe.ai/blog/introducing-system-one-models-and-jev,documentado_proveedor,Válido bajo contrato typesafe-sdk 0.7.0 y supuestos operacionales del Pilar P17.
AF-JEV-P17-002-02,JEV-P17-002,P17,¿Cómo asignar identificadores estables a fuentes y afirmaciones sin duplicar evidencia compartida por varios notebooks?,Fundamentación técnica documentada en TypeSafe AI Concepts: Use Case Map relativa a ¿cómo asignar identificadores estables a fuentes y afirmaciones sin duplicar evidencia com...,SRC-0005,Fuente SRC-0005,https://docs.typesafe.ai/concepts/use-case-map,documentado_proveedor,Válido bajo contrato typesafe-sdk 0.7.0 y supuestos operacionales del Pilar P17.
AF-JEV-P17-002-03,JEV-P17-002,P17,¿Cómo asignar identificadores estables a fuentes y afirmaciones sin duplicar evidencia compartida por varios notebooks?,Fundamentación técnica documentada en TypeSafe AI System One API Reference & State Specs (`POST /v1/systemone`) relativa a ¿cómo asignar identificadores estables a fuentes y afirmaciones sin duplicar evidencia com...,SRC-0039,Fuente SRC-0039,https://docs.typesafe.ai/api,documentado_proveedor,Válido bajo contrato typesafe-sdk 0.7.0 y supuestos operacionales del Pilar P17.
AF-JEV-P17-002-04,JEV-P17-002,P17,¿Cómo asignar identificadores estables a fuentes y afirmaciones sin duplicar evidencia compartida por varios notebooks?,Fundamentación técnica documentada en Belebele: Parallel Multi-variant Reading Comprehension relativa a ¿cómo asignar identificadores estables a fuentes y afirmaciones sin duplicar evidencia com...,SRC-0051,Fuente SRC-0051,https://arxiv.org/abs/2308.16884,referencia_tecnica,Válido bajo contrato typesafe-sdk 0.7.0 y supuestos operacionales del Pilar P17.
AF-JEV-P17-003-01,JEV-P17-003,P17,"¿Cómo distinguir observaciones, interpretaciones y propuestas al consolidar respuestas producidas en fechas o sesiones diferentes?","Fundamentación técnica documentada en Introducing System One Models and Jev relativa a ¿cómo distinguir observaciones, interpretaciones y propuestas al consolidar respuestas pro...",SRC-0001,Fuente SRC-0001,https://typesafe.ai/blog/introducing-system-one-models-and-jev,documentado_proveedor,Válido bajo contrato typesafe-sdk 0.7.0 y supuestos operacionales del Pilar P17.
AF-JEV-P17-003-02,JEV-P17-003,P17,"¿Cómo distinguir observaciones, interpretaciones y propuestas al consolidar respuestas producidas en fechas o sesiones diferentes?","Fundamentación técnica documentada en TypeSafe AI Concepts: Use Case Map relativa a ¿cómo distinguir observaciones, interpretaciones y propuestas al consolidar respuestas pro...",SRC-0005,Fuente SRC-0005,https://docs.typesafe.ai/concepts/use-case-map,documentado_proveedor,Válido bajo contrato typesafe-sdk 0.7.0 y supuestos operacionales del Pilar P17.
