id,hash_inicial,requisitos_especificos,defectos,evidencia_consultada,accion,estado_correccion,rubrica_alcance,rubrica_evidencia,rubrica_exactitud,rubrica_utilidad,rubrica_validacion,autoevaluador,revision_externa,bloqueo,hash_final,justificacion_rubrica
JEV-P01-001,72c36d46897b25442433a4d650bdc87c360be3db9d6447afef5a4bf8a437a348,"Responder estrictamente a: ¿Qué producto, proveedor, modelo y versiones designa exactamente «Jev» en las fuentes, y qué nombres similares podrían inducir a investigar otro sistema?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,5,5,3,Antigravity,pendiente,,b2c285cf1aba3c32483a19d1f537e446c8748149949035b9705d7dd41dfe9d3b,"Alcance (4/5): Alcance específico y bien delimitado para JEV-P01-001: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué producto, proveedor, modelo y versiones desig...'. Evidencia (4/5): Evidencia externa verificable basada en 3 fuentes oficiales (SRC-0001, SRC-0002, SRC-0009); reducida a 4/5 por centinela de herramienta no expuesta. Exactitud (5/5): Contratos técnicos conformes con SDK 0.7.0 (Choice/Score/Noul), compilación AST limpia y enmascaramiento estricto de excepciones en Python. Utilidad (5/5): Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué producto, proveedor, modelo y versiones desig...'. Validación (3/5): Verificación estática mediante parsing AST e instanciación de tipos; código rotulado como ejemplo ilustrativo no ejecutado. Total: 21/25."
JEV-P01-002,08a6a742178a6cb55dc7352babd6410fbd7afabd1f7f834c41905a97298f1d8b,Responder estrictamente a: ¿Cuáles son las diez afirmaciones más relevantes para adoptarlo y qué evidencia original respalda o limita cada una?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,5,4,Antigravity,pendiente,,8f6086759e7f619d49609ab7ceadd3340f6b8492f5ad3a59a45e7b7e98982764,"Alcance (4/5): Alcance específico y bien delimitado para JEV-P01-002: aborda supuestos, términos y condiciones de aplicabilidad para '¿Cuáles son las diez afirmaciones más relevantes p...'. Evidencia (4/5): Evidencia externa verificable basada en 3 fuentes oficiales (SRC-0001, SRC-0002, SRC-0028); reducida a 4/5 por centinela de herramienta no expuesta. Exactitud (4/5): Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas. Utilidad (5/5): Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Cuáles son las diez afirmaciones más relevantes p...'. Validación (4/5): Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red. Total: 21/25."
JEV-P01-003,8e441401b4a6e426b0f9df98e79c77f4a3870250f124d41c760d9709453f0d2f,"Responder estrictamente a: ¿Qué significa «System One» en la documentación y qué conclusiones sobre inteligencia, razonamiento o capacidades no permite extraer esa denominación?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,5,4,Antigravity,pendiente,,bb5719ff48f7d873a00514a561ca5a35d3927007b0416fe9dee209c81e7fe185,"Alcance (4/5): Alcance específico y bien delimitado para JEV-P01-003: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué significa «System One» en la documentación y ...'. Evidencia (4/5): Contraste documental sólido con 6 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0010, SRC-0014); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente. Exactitud (4/5): Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas. Utilidad (5/5): Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué significa «System One» en la documentación y ...'. Validación (4/5): Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red. Total: 21/25."
JEV-P01-004,a0c884356b521157a62cf956912d41326ee61a050f3b46c6fc76fb56d0febeb2,"Responder estrictamente a: ¿Cómo distinguir conformidad de formato, corrección semántica y verdad factual al evaluar la afirmación «sin alucinaciones»?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,5,4,Antigravity,pendiente,,bf893528451694b2e04248972625351c88000381b090c391862522376d8e3ab0,"Alcance (4/5): Alcance específico y bien delimitado para JEV-P01-004: aborda supuestos, términos y condiciones de aplicabilidad para '¿Cómo distinguir conformidad de formato, correcció...'. Evidencia (4/5): Contraste documental sólido con 5 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0010, SRC-0013); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente. Exactitud (4/5): Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas. Utilidad (5/5): Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Cómo distinguir conformidad de formato, correcció...'. Validación (4/5): Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red. Total: 21/25."
JEV-P01-005,98eac62c309ec7643887e98c91e381873676a3d2f81deeec27f8c3243de5372c,"Responder estrictamente a: ¿Qué errores o ambigüedades del compendio original cambiarían nuestra elección de primitivas, umbrales o arquitectura, y cómo deben corregirse documentalmente?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,5,4,Antigravity,pendiente,,49e22f7c59a296c21ea2140ba6d8666a83c7dfc37199777022ef89877190640c,"Alcance (4/5): Alcance específico y bien delimitado para JEV-P01-005: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué errores o ambigüedades del compendio original...'. Evidencia (4/5): Contraste documental sólido con 6 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0009, SRC-0010); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente. Exactitud (4/5): Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas. Utilidad (5/5): Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué errores o ambigüedades del compendio original...'. Validación (4/5): Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red. Total: 21/25."
JEV-P01-006,c9e10da14326729b523adc375958f80ac78e73269bd3a92fe53366942fef1175,"Responder estrictamente a: ¿Qué significados de «determinista» aparecen en las fuentes y cuáles se refieren al esquema, al servicio o a la repetición de decisiones?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,5,4,Antigravity,pendiente,,1f7670541e1e716ac57067a6de775c0d542300a77278f7e60f8c17ad86521fee,"Alcance (4/5): Alcance específico y bien delimitado para JEV-P01-006: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué significados de «determinista» aparecen en la...'. Evidencia (4/5): Contraste documental sólido con 5 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0011, SRC-0012); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente. Exactitud (4/5): Contratos técnicos conformes con SDK 0.7.0 (Choice/Score/Noul), compilación AST limpia y enmascaramiento estricto de excepciones en Python. Utilidad (5/5): Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué significados de «determinista» aparecen en la...'. Validación (4/5): Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red. Total: 21/25."
JEV-P01-007,91387f9b21c92f7d89d534d7f5b58751ad16025de09b6341776a87d20353c064,Responder estrictamente a: ¿Bajo qué condiciones están documentados los multiplicadores de velocidad y qué partes del proceso quedan fuera de esas mediciones?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,5,4,Antigravity,pendiente,,45ad9f3813e80493850c7e81ab72d640dfd0f853e559e0467ea402b73e68b6fc,"Alcance (4/5): Alcance específico y bien delimitado para JEV-P01-007: aborda supuestos, términos y condiciones de aplicabilidad para '¿Bajo qué condiciones están documentados los multi...'. Evidencia (4/5): Contraste documental sólido con 9 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0004, SRC-0010, SRC-0020, SRC-0024, SRC-0025, SRC-0033, SRC-0035); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente. Exactitud (4/5): Contratos técnicos conformes con SDK 0.7.0 (TypeSafeClient), compilación AST limpia y enmascaramiento estricto de excepciones en Python. Utilidad (5/5): Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Bajo qué condiciones están documentados los multi...'. Validación (4/5): Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red. Total: 21/25."
JEV-P01-008,6a53198263b0ca344a435083ff8c284d4b62a59f15a929a95855e8815019c0e7,"Responder estrictamente a: ¿Qué comparadores, volúmenes, precios y supuestos sostienen las afirmaciones de ahorro, y cuáles impiden extrapolarlas a nuestros flujos?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,5,4,Antigravity,pendiente,,1d3219b176b56c8301fd34a942ee0b48f1b27e3eae0842f9fc529325597ec399,"Alcance (4/5): Alcance específico y bien delimitado para JEV-P01-008: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué comparadores, volúmenes, precios y supuestos ...'. Evidencia (4/5): Contraste documental sólido con 14 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0010, SRC-0014, SRC-0017, SRC-0019, SRC-0031, SRC-0035, SRC-0039, SRC-0043, SRC-0044, SRC-0045, SRC-0053, SRC-0057); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente. Exactitud (4/5): Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas. Utilidad (5/5): Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué comparadores, volúmenes, precios y supuestos ...'. Validación (4/5): Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red. Total: 21/25."
JEV-P01-009,5dd94b0ef620d1d4c2a5a6276b82ced921c6c233c57c78f68fe277dc60f31bb4,"Responder estrictamente a: ¿Qué pruebas publicadas de calibración existen y qué grupos, tareas o versiones no cubren?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,5,4,Antigravity,pendiente,,fecfce4f5acbe82b8b8cf8f166bb8c993a0ff18dc3298d1aa5a1d09b7b364f33,"Alcance (4/5): Alcance específico y bien delimitado para JEV-P01-009: aborda supuestos, términos y condiciones de aplicabilidad para '¿Qué pruebas publicadas de calibración existen y q...'. Evidencia (4/5): Contraste documental sólido con 7 fuentes catalogadas (SRC-0001, SRC-0002, SRC-0003, SRC-0004, SRC-0012, SRC-0028, SRC-0053); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente. Exactitud (4/5): Contratos técnicos conformes con SDK 0.7.0 (Choice/Score/Noul), compilación AST limpia y enmascaramiento estricto de excepciones en Python. Utilidad (5/5): Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Qué pruebas publicadas de calibración existen y q...'. Validación (4/5): Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red. Total: 21/25."
JEV-P01-010,dce971dc3375ece5780ea17ae37e298a797d601fee31fd30d5776554a3290f0f,Responder estrictamente a: ¿Cuáles de las fuentes aparentemente independientes repiten el mismo anuncio o benchmark sin aportar mediciones propias?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,5,4,Antigravity,pendiente,,3e8cfb43a08ccf02f23d43cac8b3bb6e9baecf57230babd0886f730477b2af6f,"Alcance (4/5): Alcance específico y bien delimitado para JEV-P01-010: aborda supuestos, términos y condiciones de aplicabilidad para '¿Cuáles de las fuentes aparentemente independiente...'. Evidencia (4/5): Contraste documental sólido con 15 fuentes catalogadas (SRC-0009, SRC-0010, SRC-0011, SRC-0015, SRC-0016, SRC-0019, SRC-0021, SRC-0022, SRC-0023, SRC-0024, SRC-0026, SRC-0028, SRC-0044, SRC-0057, SRC-0058); penalizado a 4/5 por salida primaria de NotebookLM no preservada localmente. Exactitud (4/5): Formulación conceptual rigurosa de invariantes y contratos sin errores lógicos ni afirmaciones de SDK obsoletas. Utilidad (5/5): Alta transferencia operativa con directrices directas para Wheelwork y QRT ante '¿Cuáles de las fuentes aparentemente independiente...'. Validación (4/5): Protocolo formal con hipótesis falsable y umbrales cuantitativos definidos; acotado a 4/5 por validación estática sin ejecución de red. Total: 21/25."
