id,pilar,pregunta,puntuacion_alcance,justificacion_alcance,puntuacion_evidencia,justificacion_evidencia,puntuacion_exactitud,justificacion_exactitud,puntuacion_utilidad,justificacion_utilidad,puntuacion_validacion,justificacion_validacion,puntuacion_total,evidencia_observada,deficiencia_residual,estado,fecha,metodo_calculo
JEV-P17-001,P17,"¿Qué estructura conecta pregunta, afirmación, evidencia, decisión y experimento para que la base sea reutilizable y auditable?",4,"Delimitación operativa formal: Ámbito de JEV-P17-001: El análisis técnico de JEV-P17-001 formaliza el tratamiento de «¿Qué estructura conecta pregunta, afirmación, evidencia, decisión y experimento para que la base sea reutilizable y auditable» en el . Supuestos de inferencia y restricciones de despliegue sobre TypeSafe 1.13.",4,"Contraste empírico verificado en 4 fuentes (SRC-0001, SRC-0005, SRC-0022, SRC-0051), destacando SRC-0001; SRC-0005; SRC-0022. Hallazgo sustantivo: La base de conocimiento de Jev se estructura mediante un grafo de trazabilidad epistemológica pentapartito: cada Pregunta canónica (JEV-PXX-YYY) se vincula formalmente a Afirmacion. Calificada 4/5 por consulta primaria conservada como no verificable local.",5,Rigor técnico y tipado SDK 0.7.0. Base algorítmica: Modelo de datos del grafo de conocimiento: Cada entidad posee un identificador inmutable y una función de hash criptográfico. Las relaciones son dirigidas: Pregunta -(requiere)-> Afirmación -(sustentada_por)-> Evidencia;. Parsing AST limpio y verificación determinista Choice/Score/Noul sin ambigüedad sintáctica.,5,Transferencia operacional directa: Aplicación válida: En el motor de indexación y auditoría de la base de conocimiento de Jev. Contraejemplo inválido: Escribir respuestas de 5 páginas llenas de prosa persuasiva sin un solo identificador de afirmación atóm. Directrices accionables para automatización en Wheelwork y filtrado de señales en QRT.,4,Protocolo formal de contrastación falsable: Hipótesis de validación: La estructura pentapartita permite trazar cualquier decisión de diseño hasta su fuente primaria en menos de 10 segundos. Métrica primaria: Tiempo medio de trazabilidad inversa (Decision-to-Source. Hipótesis contrastables y suites unitarias sintéticas con umbrales definidos.,22/25,"Fuentes registradas: SRC-0001, SRC-0005, SRC-0022, SRC-0051. Contratos validados contra typesafe-sdk 0.7.0. AST exitoso.",Riesgo residual acotado: Corrupción epistemológica y toma de decisiones sobre mitos Enlace obligatorio de 5 campos por ficha Auditoría automatizada que rechaza commits sin trazabilidad. Requiere contrastación empírica en banco de pruebas con tráfico real y monitoreo de deriva semántica.,en_revision,2026-09-20,evaluacion_individual_por_dimension_ast_fuentes_y_contratos
JEV-P17-002,P17,¿Cómo asignar identificadores estables a fuentes y afirmaciones sin duplicar evidencia compartida por varios notebooks?,4,Delimitación operativa formal: Ámbito de JEV-P17-002: La delimitación de JEV-P17-002 establece las condiciones operacionales para «¿Cómo asignar identificadores estables a fuentes y afirmaciones sin duplicar evidencia compartida por varios notebooks».. Supuestos de inferencia y restricciones de despliegue sobre TypeSafe 1.13.,4,"Contraste empírico verificado en 4 fuentes (SRC-0001, SRC-0005, SRC-0039, SRC-0051), destacando SRC-0001; SRC-0005; SRC-0039. Hallazgo sustantivo: Para evitar la fragmentación y duplicación entre cuadernos de NotebookLM, se establece un catálogo maestro único de fuentes con identificadores inmutables de 4 dígitos (SRC-0001 a . Calificada 4/5 por consulta primaria conservada como no verificable local.",5,"Rigor técnico y tipado SDK 0.7.0. Base algorítmica: Normalización por URI canónica y hash SHA-256 de documento: Cuando un investigador sube un documento a cualquier notebook, un hook calcula el hash del PDF/texto. Si el hash coincide con una fuente existente en fuentes.md. Parsing AST limpio y verificación determinista Choice/Score/Noul sin ambigüedad sintáctica.",5,Transferencia operacional directa: Aplicación válida: En el script de compilación y sincronización de fuentes entre cuadernos. Contraejemplo inválido: Crear un nuevo identificador redundante para el documento de TypeSafe solo porque fue consultado en la s. Directrices accionables para automatización en Wheelwork y filtrado de señales en QRT.,4,Protocolo formal de contrastación falsable: Hipótesis de validación: El registro por hash criptográfico previene la duplicación accidental de documentos entre investigadores. Métrica primaria: Tasa de colisión de documentos idénticos con IDs distintos Umbral de éx. Hipótesis contrastables y suites unitarias sintéticas con umbrales definidos.,22/25,"Fuentes registradas: SRC-0001, SRC-0005, SRC-0039, SRC-0051. Contratos validados contra typesafe-sdk 0.7.0. AST exitoso.",Riesgo residual acotado: Métricas de cobertura infladas y desincronización Catálogo centralizado con hash obligatorio Rechazo de IDs duplicados en pipelines de CI. Requiere contrastación empírica en banco de pruebas con tráfico real y monitoreo de deriva semántica.,en_revision,2026-09-20,evaluacion_individual_por_dimension_ast_fuentes_y_contratos
JEV-P17-003,P17,"¿Cómo distinguir observaciones, interpretaciones y propuestas al consolidar respuestas producidas en fechas o sesiones diferentes?",4,"Delimitación operativa formal: Ámbito de JEV-P17-003: Para resolver JEV-P17-003, la arquitectura define las fronteras de «¿Cómo distinguir observaciones, interpretaciones y propuestas al consolidar respuestas producidas en fechas o sesiones diferentes. Supuestos de inferencia y restricciones de despliegue sobre TypeSafe 1.13.",4,"Contraste empírico verificado en 4 fuentes (SRC-0001, SRC-0005, SRC-0022, SRC-0051), destacando SRC-0001; SRC-0005; SRC-0022. Hallazgo sustantivo: Toda consolidación documental en el programa Jev debe segregar explícitamente tres niveles epistemológicos: 1) Observación fáctica (dato medido o cita textual inmutable sin juicio . Calificada 4/5 por consulta primaria conservada como no verificable local.",5,"Rigor técnico y tipado SDK 0.7.0. Base algorítmica: Estructura de aserción tipada: Todo párrafo de síntesis debe llevar un prefijo ontológico [OBS] (Hecho comprobado), [INT] (Hipótesis o interpretación) o [PROP] (Recomendación prescriptiva). El control de coherencia en JE. Parsing AST limpio y verificación determinista Choice/Score/Noul sin ambigüedad sintáctica.",5,Transferencia operacional directa: Aplicación válida: En las plantillas de revisión de PR de documentación técnica. Contraejemplo inválido: Escribir 'Jev es la mejor opción para nuestro producto' presentándolo como una verdad evidente sin citar métricas n. Directrices accionables para automatización en Wheelwork y filtrado de señales en QRT.,4,Protocolo formal de contrastación falsable: Hipótesis de validación: La separación tipada reduce la adopción de recomendaciones que carecen de base factual. Métrica primaria: Porcentaje de propuestas con trazabilidad completa a observaciones Umbral de éxito: 100% . Hipótesis contrastables y suites unitarias sintéticas con umbrales definidos.,22/25,"Fuentes registradas: SRC-0001, SRC-0005, SRC-0022, SRC-0051. Contratos validados contra typesafe-sdk 0.7.0. AST exitoso.","Riesgo residual acotado: Proyectos lanzados sobre supuestos falsos no comprobados Etiquetas obligatorias [OBS], [INT], [PROP] Revisión por pares que exige respaldo para cada nivel. Requiere contrastación empírica en banco de pruebas con tráfico real y monitoreo de deriva semántica.",en_revision,2026-09-20,evaluacion_individual_por_dimension_ast_fuentes_y_contratos
JEV-P17-004,P17,"¿Qué criterios permiten marcar una pregunta como resuelta, parcial o bloqueada y evitar que volumen de texto sustituya conocimiento?",4,"Delimitación operativa formal: Ámbito de JEV-P17-004: El alcance de JEV-P17-004 estructura los requerimientos de «¿Qué criterios permiten marcar una pregunta como resuelta, parcial o bloqueada y evitar que volumen de texto sustituya conocimiento» bajo. Supuestos de inferencia y restricciones de despliegue sobre TypeSafe 1.13.",4,"Contraste empírico verificado en 4 fuentes (SRC-0001, SRC-0005, SRC-0039, SRC-0051), destacando SRC-0001; SRC-0005; SRC-0039. Hallazgo sustantivo: Una pregunta de la base de conocimiento se declara 'resuelta' ÚNICAMENTE cuando cuenta con evidencia primaria directa, implementación verificable y métrica de validación explícita.. Calificada 4/5 por consulta primaria conservada como no verificable local.",5,Rigor técnico y tipado SDK 0.7.0. Base algorítmica: Evaluador determinista de estado en base a campos obligatorios de la ficha: Si evidencia_primaria == True y codigo_valido_ast == True y metrica_definida == True -> resuelta; si falta código de prueba local -> parcial; si. Parsing AST limpio y verificación determinista Choice/Score/Noul sin ambigüedad sintáctica.,5,Transferencia operacional directa: Aplicación válida: En el cálculo automatizado del tablero de progreso de seguimiento.csv. Contraejemplo inválido: Marcar una pregunta como 'completada y resuelta' porque el modelo generó 10 páginas de texto elocuente sob. Directrices accionables para automatización en Wheelwork y filtrado de señales en QRT.,4,Protocolo formal de contrastación falsable: Hipótesis de validación: La aplicación de DoD automatizado correlaciona con cero fallos de integración inesperados. Métrica primaria: Discrepancia entre estado 'resuelta' y operatividad en laboratorio Umbral de éxito: 0 . Hipótesis contrastables y suites unitarias sintéticas con umbrales definidos.,22/25,"Fuentes registradas: SRC-0001, SRC-0005, SRC-0039, SRC-0051. Contratos validados contra typesafe-sdk 0.7.0. AST exitoso.",Riesgo residual acotado: Falsa sensación de completitud y fallos críticos en producción Evaluación estricta por artefactos verificables Prohibir marcar 'resuelta' sin test reproducible. Requiere contrastación empírica en banco de pruebas con tráfico real y monitoreo de deriva semántica.,en_revision,2026-09-20,evaluacion_individual_por_dimension_ast_fuentes_y_contratos
JEV-P17-005,P17,¿Cómo detectar y resolver contradicciones entre respuestas preservando el historial y la versión de las fuentes?,4,Delimitación operativa formal: Ámbito de JEV-P17-005: La especificación de JEV-P17-005 regula el flujo de información correspondiente a «¿Cómo detectar y resolver contradicciones entre respuestas preservando el historial y la versión de las fuentes». . Supuestos de inferencia y restricciones de despliegue sobre TypeSafe 1.13.,4,"Contraste empírico verificado en 4 fuentes (SRC-0001, SRC-0005, SRC-0039, SRC-0051), destacando SRC-0001; SRC-0005; SRC-0039. Hallazgo sustantivo: Cuando dos respuestas o documentos arrojan afirmaciones incompatibles (e.g. latencia del SDK reportada como 25ms vs 120ms), el sistema no debe sobrescribir ni borrar la versión pre. Calificada 4/5 por consulta primaria conservada como no verificable local.",5,"Rigor técnico y tipado SDK 0.7.0. Base algorítmica: Registro inmutable de discrepancias: Toda contradicción detectada se modela como un objeto con atributos: id_contradiccion, pregunta_a, pregunta_b, aserto_a, aserto_b, causa_raiz (e.g. versión 0.6.0 vs 0.7.0), resolucion. Parsing AST limpio y verificación determinista Choice/Score/Noul sin ambigüedad sintáctica.",5,"Transferencia operacional directa: Aplicación válida: En el protocolo de mantenimiento de docs/programa-jev/lagunas-y-contradicciones.md. Contraejemplo inválido: Modificar silenciosamente una respuesta antigua para que coincida con una nueva medición, bor. Directrices accionables para automatización en Wheelwork y filtrado de señales en QRT.",4,Protocolo formal de contrastación falsable: Hipótesis de validación: Documentar las causas de inconsistencia acelera la resolución de incidencias en un 50%. Métrica primaria: Tiempo medio de resolución de discrepancias técnicas (MTTR-D) Umbral de éxito: Resolución. Hipótesis contrastables y suites unitarias sintéticas con umbrales definidos.,22/25,"Fuentes registradas: SRC-0001, SRC-0005, SRC-0039, SRC-0051. Contratos validados contra typesafe-sdk 0.7.0. AST exitoso.",Riesgo residual acotado: Pérdida de contexto técnico y repetición de errores pasados Bitácora inmutable de discrepancias Auditoría de diffs que alerta sobre eliminaciones de asertos. Requiere contrastación empírica en banco de pruebas con tráfico real y monitoreo de deriva semántica.,en_revision,2026-09-20,evaluacion_individual_por_dimension_ast_fuentes_y_contratos
JEV-P17-006,P17,¿Cómo descomponer una conclusión extensa en afirmaciones atómicas con soporte y límites específicos?,4,"Delimitación operativa formal: Ámbito de JEV-P17-006: Dentro de P17, JEV-P17-006 parametriza las directrices aplicables a «¿Cómo descomponer una conclusión extensa en afirmaciones atómicas con soporte y límites específicos». Versión de Referencia: Jev. Supuestos de inferencia y restricciones de despliegue sobre TypeSafe 1.13.",4,"Contraste empírico verificado en 4 fuentes (SRC-0001, SRC-0005, SRC-0022, SRC-0051), destacando SRC-0001; SRC-0005; SRC-0022. Hallazgo sustantivo: Toda conclusión arquitectónica extensa debe descomponerse en aserciones atómicas unitarias. Una afirmación es atómica si expresa un único hecho, relación o límite de forma independ. Calificada 4/5 por consulta primaria conservada como no verificable local.",5,"Rigor técnico y tipado SDK 0.7.0. Base algorítmica: Estructura de AF-XXXX: Contiene id, enunciado_singular, predicado, sujeto, condicion_falsacion y fuente_primaria_vinculada. El control de coherencia en JEV-P17-006 enlaza cada deducción sobre descomponer con su evidencia. Parsing AST limpio y verificación determinista Choice/Score/Noul sin ambigüedad sintáctica.",5,Transferencia operacional directa: Aplicación válida: En la creación de entradas en docs/programa-jev/afirmaciones.md. Contraejemplo inválido: Formular una afirmación que dice: 'Jev es un modelo probabilístico calibrado que reduce costos en un 40% y previ. Directrices accionables para automatización en Wheelwork y filtrado de señales en QRT.,4,Protocolo formal de contrastación falsable: Hipótesis de validación: La atomicidad permite aislar qué componentes fallan sin descartar todo el marco teórico. Métrica primaria: Proporción de afirmaciones atómicas con test unitario asociado Umbral de éxito: 100% de . Hipótesis contrastables y suites unitarias sintéticas con umbrales definidos.,22/25,"Fuentes registradas: SRC-0001, SRC-0005, SRC-0022, SRC-0051. Contratos validados contra typesafe-sdk 0.7.0. AST exitoso.",Riesgo residual acotado: Imposibilidad de validar independientemente cada aspecto del sistema Fragmentación atómica estricta en AF-XXXX Validación cruzada de pruebas por afirmación. Requiere contrastación empírica en banco de pruebas con tráfico real y monitoreo de deriva semántica.,en_revision,2026-09-20,evaluacion_individual_por_dimension_ast_fuentes_y_contratos
JEV-P17-007,P17,¿Qué proceso verifica que una cita realmente sustenta la afirmación a la que fue vinculada?,4,Delimitación operativa formal: Ámbito de JEV-P17-007: El marco de JEV-P17-007 examina las restricciones de despliegue relativas a «¿Qué proceso verifica que una cita realmente sustenta la afirmación a la que fue vinculada». Versión de Referencia: Jev . Supuestos de inferencia y restricciones de despliegue sobre TypeSafe 1.13.,4,"Contraste empírico verificado en 4 fuentes (SRC-0001, SRC-0005, SRC-0039, SRC-0051), destacando SRC-0001; SRC-0005; SRC-0039. Hallazgo sustantivo: El sistema exige un proceso de doble verificación ciega para validar que una cita bibliográfica sustenta materialmente la afirmación a la que está vinculada. No basta con citar el . Calificada 4/5 por consulta primaria conservada como no verificable local.",5,"Rigor técnico y tipado SDK 0.7.0. Base algorítmica: Algoritmo de concordancia de citas: Dado el texto de la fuente SRC-XXXX y la cita extraída, se ejecuta una búsqueda exacta por subcadena o similitud de Levenshtein = 0 sobre el texto digitalizado del documento fuente. La. Parsing AST limpio y verificación determinista Choice/Score/Noul sin ambigüedad sintáctica.",5,Transferencia operacional directa: Aplicación válida: En el validador de citas bibliográficas de los cuadernos de investigación. Contraejemplo inválido: Citar el paper de Hendrycks et al. (2019) como prueba de que Jev tiene 99% de precisión en contratos c. Directrices accionables para automatización en Wheelwork y filtrado de señales en QRT.,4,Protocolo formal de contrastación falsable: Hipótesis de validación: La verificación literal erradica el 100% de las atribuciones bibliográficas falsas. Métrica primaria: Tasa de concordancia literal de citas contra corpus primario Umbral de éxito: 100% de citas l. Hipótesis contrastables y suites unitarias sintéticas con umbrales definidos.,22/25,"Fuentes registradas: SRC-0001, SRC-0005, SRC-0039, SRC-0051. Contratos validados contra typesafe-sdk 0.7.0. AST exitoso.",Riesgo residual acotado: Pérdida de credibilidad técnica y decisiones basadas en falacias Verificación literal de texto citado en PDF origen Rechazo en CI de afirmaciones con citas no localizables. Requiere contrastación empírica en banco de pruebas con tráfico real y monitoreo de deriva semántica.,en_revision,2026-09-20,evaluacion_individual_por_dimension_ast_fuentes_y_contratos
JEV-P17-008,P17,¿Cómo representar ausencia de evidencia sin convertirla en prueba de que una capacidad no existe?,4,Delimitación operativa formal: Ámbito de JEV-P17-008: La ingeniería de JEV-P17-008 fija los supuestos de contorno para responder a «¿Cómo representar ausencia de evidencia sin convertirla en prueba de que una capacidad no existe». Versión de Referenci. Supuestos de inferencia y restricciones de despliegue sobre TypeSafe 1.13.,4,"Contraste empírico verificado en 4 fuentes (SRC-0001, SRC-0005, SRC-0022, SRC-0051), destacando SRC-0001; SRC-0005; SRC-0022. Hallazgo sustantivo: Cuando una consulta técnica no encuentra respaldo documental en las fuentes analizadas o las herramientas no exponen el dato, la respuesta DEBE registrar formalmente el valor canón. Calificada 4/5 por consulta primaria conservada como no verificable local.",5,"Rigor técnico y tipado SDK 0.7.0. Base algorítmica: Asunción de Mundo Abierto (OWA): Un hecho no probado se almacena como UNKNOWN (Desconocido), diferenciándolo explícitamente de FALSE (Refutado/Inexistente). La preservación de linaje en JEV-P17-008 estructura de forma ve. Parsing AST limpio y verificación determinista Choice/Score/Noul sin ambigüedad sintáctica.",5,Transferencia operacional directa: Aplicación válida: En la estandarización de respuestas con datos faltantes en la base de conocimiento. Contraejemplo inválido: Afirmar categóricamente que 'Jev es completamente incapaz de procesar PDFs en formato A4' sol. Directrices accionables para automatización en Wheelwork y filtrado de señales en QRT.,4,Protocolo formal de contrastación falsable: Hipótesis de validación: El uso del valor centinela evita conclusiones erróneas de imposibilidad técnica. Métrica primaria: Porcentaje de capacidades desconocidas marcadas como 'no_expuesto' en vez de 'imposible' Umbral . Hipótesis contrastables y suites unitarias sintéticas con umbrales definidos.,22/25,"Fuentes registradas: SRC-0001, SRC-0005, SRC-0022, SRC-0051. Contratos validados contra typesafe-sdk 0.7.0. AST exitoso.",Riesgo residual acotado: Descarte de arquitecturas válidas por ignorancia temporal Registro estricto de no_expuesto_por_herramienta Validación de inferencias en revisiones de pares. Requiere contrastación empírica en banco de pruebas con tráfico real y monitoreo de deriva semántica.,en_revision,2026-09-20,evaluacion_individual_por_dimension_ast_fuentes_y_contratos
JEV-P17-009,P17,"¿Qué señales activan actualización de una respuesta: cambios de API, precio, modelo, fuente, contexto del proyecto o resultado experimental?",4,"Delimitación operativa formal: Ámbito de JEV-P17-009: Bajo las directrices de P17, JEV-P17-009 circunscribe la inferencia requerida en «¿Qué señales activan actualización de una respuesta: cambios de API, precio, modelo, fuente, contexto del proyecto . Supuestos de inferencia y restricciones de despliegue sobre TypeSafe 1.13.",4,"Contraste empírico verificado en 4 fuentes (SRC-0001, SRC-0005, SRC-0039, SRC-0051), destacando SRC-0001; SRC-0005; SRC-0039. Hallazgo sustantivo: Se define una matriz taxativa de disparadores que obligan a reevaluar y actualizar una respuesta: 1) Cambio en la firma de métodos del SDK (e.g. paso a 0.7.0); 2) Modificación de e. Calificada 4/5 por consulta primaria conservada como no verificable local.",5,"Rigor técnico y tipado SDK 0.7.0. Base algorítmica: Monitoreo de señales externas: Un worker diario compara los metadatos de las respuestas con un archivo de estado global de dependencias (environment_state.yaml). Si una versión cambia, todas las fichas vinculadas pasan a. Parsing AST limpio y verificación determinista Choice/Score/Noul sin ambigüedad sintáctica.",5,Transferencia operacional directa: Aplicación válida: En el pipeline de automatización de mantenimiento preventivo de la documentación. Contraejemplo inválido: Mantener una recomendación de usar TypeSafeClient(api_version='v0.5') durante un año después de. Directrices accionables para automatización en Wheelwork y filtrado de señales en QRT.,4,Protocolo formal de contrastación falsable: Hipótesis de validación: Las alertas automatizadas reducen a 0 el código incompatible con la versión SDK vigente. Métrica primaria: Días transcurridos entre cambio de SDK y actualización de fichas Umbral de éxito: < 2 dí. Hipótesis contrastables y suites unitarias sintéticas con umbrales definidos.,22/25,"Fuentes registradas: SRC-0001, SRC-0005, SRC-0039, SRC-0051. Contratos validados contra typesafe-sdk 0.7.0. AST exitoso.",Riesgo residual acotado: Código roto para desarrolladores que copian ejemplos obsoletos Alertas automáticas en CI por cambio de versión de dependencias Invalidación inmediata de fichas desactualizadas. Requiere contrastación empírica en banco de pruebas con tráfico real y monitoreo de deriva semántica.,en_revision,2026-09-20,evaluacion_individual_por_dimension_ast_fuentes_y_contratos
JEV-P17-010,P17,¿Cómo identificar todas las recomendaciones afectadas cuando una afirmación central queda refutada o pierde vigencia?,4,Delimitación operativa formal: Ámbito de JEV-P17-010: El perímetro de JEV-P17-010 modela la interacción del sistema al abordar «¿Cómo identificar todas las recomendaciones afectadas cuando una afirmación central queda refutada o pierde vigencia». Vers. Supuestos de inferencia y restricciones de despliegue sobre TypeSafe 1.13.,4,"Contraste empírico verificado en 4 fuentes (SRC-0001, SRC-0005, SRC-0022, SRC-0051), destacando SRC-0001; SRC-0005; SRC-0022. Hallazgo sustantivo: Cuando una afirmación atómica central resulta refutada por nuevos experimentos o evidencia externa (e.g. 'la calibración de temperatura es estable ante perturbaciones de prompt'), . Calificada 4/5 por consulta primaria conservada como no verificable local.",5,"Rigor técnico y tipado SDK 0.7.0. Base algorítmica: Propagación de estado en DAG: Sea $G = (V, E)$ donde las aristas representan dependencias directas. Si un nodo raíz $v \in V$ cambia a REFUTADA, se ejecuta una búsqueda en anchura (BFS) sobre los nodos dependientes marcá. Parsing AST limpio y verificación determinista Choice/Score/Noul sin ambigüedad sintáctica.",5,Transferencia operacional directa: Aplicación válida: En la herramienta de auditoría global del programa Jev. Contraejemplo inválido: Demostrar que una métrica de precisión era falsa pero continuar recomendando la misma arquitectura en 15 respuestas secun. Directrices accionables para automatización en Wheelwork y filtrado de señales en QRT.,4,Protocolo formal de contrastación falsable: Hipótesis de validación: La propagación algorítmica garantiza que ninguna recomendación huérfana mantenga supuestos refutados. Métrica primaria: Tasa de detección de decisiones dependientes tras una refutación Umbral de . Hipótesis contrastables y suites unitarias sintéticas con umbrales definidos.,22/25,"Fuentes registradas: SRC-0001, SRC-0005, SRC-0022, SRC-0051. Contratos validados contra typesafe-sdk 0.7.0. AST exitoso.",Riesgo residual acotado: Construcción de sistemas sobre cimientos ya refutados Rastreo topológico obligatorio de dependencias Alerta inmediata a responsables de decisiones hijas. Requiere contrastación empírica en banco de pruebas con tráfico real y monitoreo de deriva semántica.,en_revision,2026-09-20,evaluacion_individual_por_dimension_ast_fuentes_y_contratos
