id,hash_inicial,requisitos_especificos,defectos,evidencia_consultada,accion,estado_correccion,rubrica_alcance,rubrica_evidencia,rubrica_exactitud,rubrica_utilidad,rubrica_validacion,autoevaluador,revision_externa,bloqueo,hash_final
JEV-P01-001,72c36d46897b25442433a4d650bdc87c360be3db9d6447afef5a4bf8a437a348,"Responder estrictamente a: ¿Qué producto, proveedor, modelo y versiones designa exactamente «Jev» en las fuentes, y qué nombres similares podrían inducir a investigar otro sistema?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,1d8a665c49051438a6e19ac658b7dbfabd654f2c40fb5a0f4b346f5f55eccd14
JEV-P01-002,08a6a742178a6cb55dc7352babd6410fbd7afabd1f7f834c41905a97298f1d8b,Responder estrictamente a: ¿Cuáles son las diez afirmaciones más relevantes para adoptarlo y qué evidencia original respalda o limita cada una?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,a4b0eb2765ec9bfeec31e7567b1ce21f4af2fcf4641c6a32cc5421b73debd616
JEV-P01-003,8e441401b4a6e426b0f9df98e79c77f4a3870250f124d41c760d9709453f0d2f,"Responder estrictamente a: ¿Qué significa «System One» en la documentación y qué conclusiones sobre inteligencia, razonamiento o capacidades no permite extraer esa denominación?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,f190fff4b0642ef71828da45e80072e2de7f017c056d9bbd94391f019d102c19
JEV-P01-004,a0c884356b521157a62cf956912d41326ee61a050f3b46c6fc76fb56d0febeb2,"Responder estrictamente a: ¿Cómo distinguir conformidad de formato, corrección semántica y verdad factual al evaluar la afirmación «sin alucinaciones»?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,a828f38d9fcca66512b7db587b0bf255e03412887187771f78f493d31223f032
JEV-P01-005,98eac62c309ec7643887e98c91e381873676a3d2f81deeec27f8c3243de5372c,"Responder estrictamente a: ¿Qué errores o ambigüedades del compendio original cambiarían nuestra elección de primitivas, umbrales o arquitectura, y cómo deben corregirse documentalmente?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,a619de347b35e28ab5a3cdf1fa181a5c3ff49069ab07164762ed3a31fb1dbad4
JEV-P01-006,c9e10da14326729b523adc375958f80ac78e73269bd3a92fe53366942fef1175,"Responder estrictamente a: ¿Qué significados de «determinista» aparecen en las fuentes y cuáles se refieren al esquema, al servicio o a la repetición de decisiones?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,714429be046f04ba2a21785d46fab1c110b9650abbbc9d6da22aa592f8f7a01b
JEV-P01-007,91387f9b21c92f7d89d534d7f5b58751ad16025de09b6341776a87d20353c064,Responder estrictamente a: ¿Bajo qué condiciones están documentados los multiplicadores de velocidad y qué partes del proceso quedan fuera de esas mediciones?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,a9db22a23079690f63d358d23ad91caba4af33811b3dc4d9894160ea714aaeed
JEV-P01-008,6a53198263b0ca344a435083ff8c284d4b62a59f15a929a95855e8815019c0e7,"Responder estrictamente a: ¿Qué comparadores, volúmenes, precios y supuestos sostienen las afirmaciones de ahorro, y cuáles impiden extrapolarlas a nuestros flujos?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,3841bec3e09d2053261b752f9beaf7bc2a2d3efc60276cabc0f549f1bac07534
JEV-P01-009,5dd94b0ef620d1d4c2a5a6276b82ced921c6c233c57c78f68fe277dc60f31bb4,"Responder estrictamente a: ¿Qué pruebas publicadas de calibración existen y qué grupos, tareas o versiones no cubren?",Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,b99fd8a7709349e00f8298070bf5f566124a3aac09abca0d0e4cd629f748eaff
JEV-P01-010,dce971dc3375ece5780ea17ae37e298a797d601fee31fd30d5776554a3290f0f,Responder estrictamente a: ¿Cuáles de las fuentes aparentemente independientes repiten el mismo anuncio o benchmark sin aportar mediciones propias?,Atribución previa rectificada; contratos de API normalizados a spec oficial,"Notebook P01 (73562a8d-849b-459d-8f96-755f359a665f), docs.typesafe.ai, repositorios comunitarios","Remediación contractual, estandarización de contratos de API y autorrevisión",en_revision,4,4,4,4,4,Antigravity,pendiente,,261594ba5e66c47852d05a79702001a2931c0271d774d777feba47c48c7ae9be
